GoldenEyeDiagnostic 0.0.2
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
CSV: .\demonstrations\session-20260727-234451-frames.csv
Frames uteis: 1003
Frame inicial do emulador: 2777

replay_index,emu_frame,source_relative_frame,event
1,2777,272,START
2,2778,273,
3,2779,274,
4,2780,275,
5,2781,276,
6,2782,277,
7,2783,278,
8,2784,279,
9,2785,280,
10,2786,281,
11,2787,282,
12,2788,283,
13,2789,284,
14,2790,285,
15,2791,286,
16,2792,287,
17,2793,288,
18,2794,289,
19,2795,290,
20,2796,291,
21,2797,292,
22,2798,293,
23,2799,294,
24,2800,295,
25,2801,296,
26,2802,297,
27,2803,298,
28,2804,299,
29,2805,300,
30,2806,301,
31,2807,302,
32,2808,303,
33,2809,304,
34,2810,305,
35,2811,306,
36,2812,307,
37,2813,308,
38,2814,309,
39,2815,310,
40,2816,311,
41,2817,312,
42,2818,313,
43,2819,314,
44,2820,315,
45,2821,316,
46,2822,317,
47,2823,318,
48,2824,319,
49,2825,320,
50,2826,321,
51,2827,322,
52,2828,323,
53,2829,324,
54,2830,325,
55,2831,326,
56,2832,327,
57,2833,328,
58,2834,329,
59,2835,330,
60,2836,331,
61,2837,332,
62,2838,333,
63,2839,334,
64,2840,335,
65,2841,336,
66,2842,337,
67,2843,338,
68,2844,339,
69,2845,340,
70,2846,341,
71,2847,342,
72,2848,343,
73,2849,344,
74,2850,345,
75,2851,346,
76,2852,347,
77,2853,348,
78,2854,349,
79,2855,350,
80,2856,351,
81,2857,352,
82,2858,353,
83,2859,354,
84,2860,355,
85,2861,356,
86,2862,357,
87,2863,358,
88,2864,359,
89,2865,360,
90,2866,361,
91,2867,362,
92,2868,363,
93,2869,364,
94,2870,365,
95,2871,366,
96,2872,367,
97,2873,368,
98,2874,369,
99,2875,370,
100,2876,371,
101,2877,372,
102,2878,373,
103,2879,374,
104,2880,375,
105,2881,376,
106,2882,377,
107,2883,378,
108,2884,379,
109,2885,380,
110,2886,381,
111,2887,382,
112,2888,383,
113,2889,384,
114,2890,385,
115,2891,386,
116,2892,387,
117,2893,388,
118,2894,389,
119,2895,390,
120,2896,391,
121,2897,392,
122,2898,393,
123,2899,394,
124,2900,395,
125,2901,396,
126,2902,397,
127,2903,398,
128,2904,399,
129,2905,400,
130,2906,401,
131,2907,402,
132,2908,403,
133,2909,404,
134,2910,405,
135,2911,406,
136,2912,407,
137,2913,408,
138,2914,409,
139,2915,410,
140,2916,411,
141,2917,412,
142,2918,413,
143,2919,414,
144,2920,415,
145,2921,416,
146,2922,417,
147,2923,418,
148,2924,419,
149,2925,420,
150,2926,421,
151,2927,422,
152,2928,423,
153,2929,424,
154,2930,425,
155,2931,426,
156,2932,427,
157,2933,428,
158,2934,429,
159,2935,430,
160,2936,431,
161,2937,432,
162,2938,433,
163,2939,434,
164,2940,435,
165,2941,436,
166,2942,437,
167,2943,438,
168,2944,439,
169,2945,440,
170,2946,441,
171,2947,442,
172,2948,443,
173,2949,444,
174,2950,445,
175,2951,446,
176,2952,447,
177,2953,448,
178,2954,449,
179,2955,450,
180,2956,451,
181,2957,452,
182,2958,453,
183,2959,454,
184,2960,455,
185,2961,456,
186,2962,457,
187,2963,458,
188,2964,459,
189,2965,460,
190,2966,461,
191,2967,462,
192,2968,463,
193,2969,464,
194,2970,465,
195,2971,466,
196,2972,467,
197,2973,468,
198,2974,469,
199,2975,470,
200,2976,471,
201,2977,472,
202,2978,473,
203,2979,474,
204,2980,475,
205,2981,476,
206,2982,477,
207,2983,478,
208,2984,479,
209,2985,480,
210,2986,481,
211,2987,482,
212,2988,483,
213,2989,484,
214,2990,485,
215,2991,486,
216,2992,487,
217,2993,488,
218,2994,489,
219,2995,490,
220,2996,491,
221,2997,492,
222,2998,493,
223,2999,494,
224,3000,495,
225,3001,496,
226,3002,497,
227,3003,498,
