GoldenEyeDiagnostic 0.0.3.1
CSV: .\demonstrations\session-20260727-234451-frames.csv
Route cut index: 820
Start emu frame: 2838
phase,index,emu_frame,label
ROUTE,1,2838,START
ROUTE,2,2839,
ROUTE,3,2840,
ROUTE,4,2841,
ROUTE,5,2842,
ROUTE,6,2843,
ROUTE,7,2844,
ROUTE,8,2845,
ROUTE,9,2846,
ROUTE,10,2847,
ROUTE,11,2848,
ROUTE,12,2849,
ROUTE,13,2850,
ROUTE,14,2851,
ROUTE,15,2852,
ROUTE,16,2853,
ROUTE,17,2854,
ROUTE,18,2855,
ROUTE,19,2856,
ROUTE,20,2857,
ROUTE,21,2858,
ROUTE,22,2859,
ROUTE,23,2860,
ROUTE,24,2861,
ROUTE,25,2862,
ROUTE,26,2863,
ROUTE,27,2864,
ROUTE,28,2865,
ROUTE,29,2866,
ROUTE,30,2867,
ROUTE,31,2868,
ROUTE,32,2869,
ROUTE,33,2870,
ROUTE,34,2871,
ROUTE,35,2872,
ROUTE,36,2873,
ROUTE,37,2874,
ROUTE,38,2875,
ROUTE,39,2876,
ROUTE,40,2877,
ROUTE,41,2878,
ROUTE,42,2879,
ROUTE,43,2880,
ROUTE,44,2881,
ROUTE,45,2882,
ROUTE,46,2883,
ROUTE,47,2884,
ROUTE,48,2885,
ROUTE,49,2886,
ROUTE,50,2887,
ROUTE,51,2888,
ROUTE,52,2889,
ROUTE,53,2890,
ROUTE,54,2891,
ROUTE,55,2892,
ROUTE,56,2893,
ROUTE,57,2894,
ROUTE,58,2895,
ROUTE,59,2896,
ROUTE,60,2897,
ROUTE,61,2898,
ROUTE,62,2899,
ROUTE,63,2900,
ROUTE,64,2901,
ROUTE,65,2902,
ROUTE,66,2903,
ROUTE,67,2904,
ROUTE,68,2905,
ROUTE,69,2906,
ROUTE,70,2907,
ROUTE,71,2908,
ROUTE,72,2909,
ROUTE,73,2910,
ROUTE,74,2911,
ROUTE,75,2912,
ROUTE,76,2913,
ROUTE,77,2914,
ROUTE,78,2915,
ROUTE,79,2916,
ROUTE,80,2917,
ROUTE,81,2918,
ROUTE,82,2919,
ROUTE,83,2920,
ROUTE,84,2921,
ROUTE,85,2922,
ROUTE,86,2923,
ROUTE,87,2924,
ROUTE,88,2925,
ROUTE,89,2926,
ROUTE,90,2927,
ROUTE,91,2928,
ROUTE,92,2929,
ROUTE,93,2930,
ROUTE,94,2931,
ROUTE,95,2932,
ROUTE,96,2933,
ROUTE,97,2934,
ROUTE,98,2935,
ROUTE,99,2936,
ROUTE,100,2937,
ROUTE,101,2938,
ROUTE,102,2939,
ROUTE,103,2940,
ROUTE,104,2941,
ROUTE,105,2942,
ROUTE,106,2943,
ROUTE,107,2944,
ROUTE,108,2945,
ROUTE,109,2946,
ROUTE,110,2947,
ROUTE,111,2948,
ROUTE,112,2949,
ROUTE,113,2950,
ROUTE,114,2951,
ROUTE,115,2952,
ROUTE,116,2953,
ROUTE,117,2954,
ROUTE,118,2955,
ROUTE,119,2956,
ROUTE,120,2957,
ROUTE,121,2958,
ROUTE,122,2959,
ROUTE,123,2960,
ROUTE,124,2961,
ROUTE,125,2962,
ROUTE,126,2963,
ROUTE,127,2964,
ROUTE,128,2965,
ROUTE,129,2966,
ROUTE,130,2967,
ROUTE,131,2968,
ROUTE,132,2969,
ROUTE,133,2970,
ROUTE,134,2971,
ROUTE,135,2972,
ROUTE,136,2973,
ROUTE,137,2974,
ROUTE,138,2975,
ROUTE,139,2976,
ROUTE,140,2977,
ROUTE,141,2978,
ROUTE,142,2979,
ROUTE,143,2980,
ROUTE,144,2981,
ROUTE,145,2982,
ROUTE,146,2983,
ROUTE,147,2984,
ROUTE,148,2985,
ROUTE,149,2986,
ROUTE,150,2987,
ROUTE,151,2988,
ROUTE,152,2989,
ROUTE,153,2990,
ROUTE,154,2991,
ROUTE,155,2992,
ROUTE,156,2993,
ROUTE,157,2994,
ROUTE,158,2995,
ROUTE,159,2996,
ROUTE,160,2997,
ROUTE,161,2998,
ROUTE,162,2999,
ROUTE,163,3000,
ROUTE,164,3001,
ROUTE,165,3002,
ROUTE,166,3003,
ROUTE,167,3004,
ROUTE,168,3005,
ROUTE,169,3006,
ROUTE,170,3007,
ROUTE,171,3008,
ROUTE,172,3009,
ROUTE,173,3010,
ROUTE,174,3011,
ROUTE,175,3012,
ROUTE,176,3013,
ROUTE,177,3014,
ROUTE,178,3015,
ROUTE,179,3016,
ROUTE,180,3017,
ROUTE,181,3018,
ROUTE,182,3019,
ROUTE,183,3020,
ROUTE,184,3021,
ROUTE,185,3022,
ROUTE,186,3023,
ROUTE,187,3024,
ROUTE,188,3025,
ROUTE,189,3026,
ROUTE,190,3027,
ROUTE,191,3028,
ROUTE,192,3029,
ROUTE,193,3030,
ROUTE,194,3031,
ROUTE,195,3032,
ROUTE,196,3033,
ROUTE,197,3034,
ROUTE,198,3035,
ROUTE,199,3036,
ROUTE,200,3037,
ROUTE,201,3038,
ROUTE,202,3039,
ROUTE,203,3040,
ROUTE,204,3041,
ROUTE,205,3042,
ROUTE,206,3043,
ROUTE,207,3044,
ROUTE,208,3045,
ROUTE,209,3046,
ROUTE,210,3047,
ROUTE,211,3048,
ROUTE,212,3049,
ROUTE,213,3050,
ROUTE,214,3051,
ROUTE,215,3052,
ROUTE,216,3053,
ROUTE,217,3054,
ROUTE,218,3055,
ROUTE,219,3056,
ROUTE,220,3057,
ROUTE,221,3058,
ROUTE,222,3059,
ROUTE,223,3060,
ROUTE,224,3061,
ROUTE,225,3062,
ROUTE,226,3063,
ROUTE,227,3064,
ROUTE,228,3065,
ROUTE,229,3066,
ROUTE,230,3067,
ROUTE,231,3068,
ROUTE,232,3069,
ROUTE,233,3070,
ROUTE,234,3071,
ROUTE,235,3072,
ROUTE,236,3073,
ROUTE,237,3074,
