GoldenEyeDiagnostic 0.0.3
CSV: .\demonstrations\session-20260727-234451-frames.csv
Frames uteis: 1003
replay_index,emu_frame,source_relative_frame,event
1,2833,272,START
2,2834,273,
3,2835,274,
4,2836,275,
5,2837,276,
6,2838,277,
7,2839,278,
8,2840,279,
9,2841,280,
10,2842,281,
11,2843,282,
12,2844,283,
13,2845,284,
14,2846,285,
15,2847,286,
16,2848,287,
17,2849,288,
18,2850,289,
19,2851,290,
20,2852,291,
21,2853,292,
22,2854,293,
23,2855,294,
24,2856,295,
25,2857,296,
26,2858,297,
27,2859,298,
28,2860,299,
29,2861,300,
30,2862,301,
31,2863,302,
32,2864,303,
33,2865,304,
34,2866,305,
35,2867,306,
36,2868,307,
37,2869,308,
38,2870,309,
39,2871,310,
40,2872,311,
41,2873,312,
42,2874,313,
43,2875,314,
44,2876,315,
45,2877,316,
46,2878,317,
47,2879,318,
48,2880,319,
49,2881,320,
50,2882,321,
51,2883,322,
52,2884,323,
53,2885,324,
54,2886,325,
55,2887,326,
56,2888,327,
57,2889,328,
58,2890,329,
59,2891,330,
60,2892,331,
61,2893,332,
62,2894,333,
63,2895,334,
64,2896,335,
65,2897,336,
66,2898,337,
67,2899,338,
68,2900,339,
69,2901,340,
70,2902,341,
71,2903,342,
72,2904,343,
73,2905,344,
74,2906,345,
75,2907,346,
76,2908,347,
77,2909,348,
78,2910,349,
79,2911,350,
80,2912,351,
81,2913,352,
82,2914,353,
83,2915,354,
84,2916,355,
85,2917,356,
86,2918,357,
87,2919,358,
88,2920,359,
89,2921,360,
90,2922,361,
91,2923,362,
92,2924,363,
93,2925,364,
94,2926,365,
95,2927,366,
96,2928,367,
97,2929,368,
98,2930,369,
99,2931,370,
100,2932,371,
101,2933,372,
102,2934,373,
103,2935,374,
104,2936,375,
105,2937,376,
106,2938,377,
107,2939,378,
108,2940,379,
109,2941,380,
110,2942,381,
111,2943,382,
112,2944,383,
113,2945,384,
114,2946,385,
115,2947,386,
116,2948,387,
117,2949,388,
118,2950,389,
119,2951,390,
120,2952,391,
121,2953,392,
122,2954,393,
123,2955,394,
124,2956,395,
125,2957,396,
126,2958,397,
127,2959,398,
128,2960,399,
129,2961,400,
130,2962,401,
131,2963,402,
132,2964,403,
133,2965,404,
134,2966,405,
135,2967,406,
136,2968,407,
137,2969,408,
138,2970,409,
139,2971,410,
140,2972,411,
141,2973,412,
142,2974,413,
143,2975,414,
144,2976,415,
145,2977,416,
146,2978,417,
147,2979,418,
148,2980,419,
149,2981,420,
150,2982,421,
151,2983,422,
152,2984,423,
153,2985,424,
154,2986,425,
155,2987,426,
156,2988,427,
157,2989,428,
158,2990,429,
159,2991,430,
160,2992,431,
161,2993,432,
162,2994,433,
163,2995,434,
164,2996,435,
165,2997,436,
166,2998,437,
167,2999,438,
168,3000,439,
169,3001,440,
170,3002,441,
171,3003,442,
172,3004,443,
173,3005,444,
174,3006,445,
175,3007,446,
176,3008,447,
177,3009,448,
178,3010,449,
179,3011,450,
180,3012,451,
181,3013,452,
182,3014,453,
183,3015,454,
184,3016,455,
185,3017,456,
186,3018,457,
187,3019,458,
188,3020,459,
189,3021,460,
190,3022,461,
191,3023,462,
192,3024,463,
193,3025,464,
194,3026,465,
195,3027,466,
196,3028,467,
197,3029,468,
198,3030,469,
199,3031,470,
200,3032,471,
201,3033,472,
202,3034,473,
203,3035,474,
204,3036,475,
205,3037,476,
206,3038,477,
207,3039,478,
208,3040,479,
209,3041,480,
210,3042,481,
211,3043,482,
212,3044,483,
213,3045,484,
214,3046,485,
