category,score,address_hex,address_dec,baseline,hit,dead
DEATH_ONLY,100,0x000232B0,144048,255,255,0
DEATH_ONLY,100,0x000232B1,144049,255,255,0
DEATH_ONLY,100,0x000232B2,144050,255,255,0
DEATH_ONLY,100,0x000232B3,144051,255,255,1
DEATH_ONLY,100,0x00028042,163906,127,127,128
DEATH_ONLY,100,0x00028043,163907,224,224,16
DEATH_ONLY,100,0x00028046,163910,128,128,127
DEATH_ONLY,100,0x00028047,163911,16,16,224
DEATH_ONLY,100,0x00030A6B,199275,0,0,1
DEATH_ONLY,100,0x00030AA6,199334,156,156,164
DEATH_ONLY,100,0x00030AA7,199335,56,56,192
DEATH_ONLY,100,0x0003FD94,261524,68,68,69
DEATH_ONLY,100,0x00043AD4,277204,1,1,0
DEATH_ONLY,100,0x00043AD5,277205,0,0,1
DEATH_ONLY,100,0x00043AD6,277206,2,2,0
DEATH_ONLY,100,0x00043AD8,277208,128,128,0
DEATH_ONLY,100,0x00043AD9,277209,9,9,0
DEATH_ONLY,100,0x00043ADA,277210,154,154,0
DEATH_ONLY,100,0x00043ADB,277211,32,32,0
DEATH_ONLY,100,0x00043ADC,277212,128,128,0
DEATH_ONLY,100,0x00043ADD,277213,9,9,0
DEATH_ONLY,100,0x00043ADE,277214,170,170,0
DEATH_ONLY,100,0x00043ADF,277215,32,32,0
DEATH_ONLY,100,0x00043AE0,277216,128,128,0
DEATH_ONLY,100,0x00043AE1,277217,9,9,0
DEATH_ONLY,100,0x00043AE2,277218,176,176,0
DEATH_ONLY,100,0x00043AE3,277219,24,24,0
DEATH_ONLY,100,0x00043B00,277248,128,128,0
DEATH_ONLY,100,0x00043B01,277249,9,9,0
DEATH_ONLY,100,0x00043B02,277250,178,178,0
DEATH_ONLY,100,0x00043B03,277251,32,32,0
DEATH_ONLY,100,0x00043B0A,277258,0,0,255
DEATH_ONLY,100,0x00043B0B,277259,3,3,255
DEATH_ONLY,100,0x00043B24,277284,1,1,0
DEATH_ONLY,100,0x00043B26,277286,2,2,0
DEATH_ONLY,100,0x00043B27,277287,1,1,0
DEATH_ONLY,100,0x00043B28,277288,128,128,0
DEATH_ONLY,100,0x00043B29,277289,9,9,0
DEATH_ONLY,100,0x00043B2A,277290,179,179,0
DEATH_ONLY,100,0x00043B2B,277291,224,224,0
DEATH_ONLY,100,0x00043B2C,277292,128,128,0
DEATH_ONLY,100,0x00043B2D,277293,9,9,0
DEATH_ONLY,100,0x00043B2E,277294,193,193,0
DEATH_ONLY,100,0x00043B2F,277295,192,192,0
DEATH_ONLY,100,0x00043B30,277296,128,128,0
DEATH_ONLY,100,0x00043B31,277297,9,9,0
DEATH_ONLY,100,0x00043B32,277298,199,199,0
DEATH_ONLY,100,0x00043B33,277299,56,56,0
DEATH_ONLY,100,0x00043B50,277328,128,128,0
DEATH_ONLY,100,0x00043B51,277329,9,9,0
DEATH_ONLY,100,0x00043B52,277330,200,200,0
DEATH_ONLY,100,0x00043B53,277331,96,96,0
DEATH_ONLY,100,0x00043B5A,277338,0,0,255
DEATH_ONLY,100,0x00043B5B,277339,4,4,255
DEATH_ONLY,100,0x00043B77,277367,1,1,0
DEATH_ONLY,100,0x00043D56,277846,2,2,1
DEATH_ONLY,100,0x00043DA6,277926,2,2,1
DEATH_ONLY,100,0x00043DF5,278005,0,0,1
DEATH_ONLY,100,0x00043E46,278086,2,2,1
DEATH_ONLY,100,0x00044302,279298,3,3,0
DEATH_ONLY,100,0x00044303,279299,4,4,0
DEATH_ONLY,100,0x0004483F,280639,6,6,3
DEATH_ONLY,100,0x000483A4,295844,65,65,66
DEATH_ONLY,100,0x000483B4,295860,65,65,66
DEATH_ONLY,100,0x0004EAB2,322226,233,233,234
DEATH_ONLY,100,0x0004EAB3,322227,240,240,80
DEATH_ONLY,100,0x0004EAF5,322293,168,168,160
DEATH_ONLY,100,0x0005D667,382567,0,0,1
DEATH_ONLY,100,0x0005D668,382568,255,255,0
DEATH_ONLY,100,0x0005D669,382569,255,255,0
DEATH_ONLY,100,0x0005D66A,382570,255,255,0
DEATH_ONLY,100,0x0005D66B,382571,255,255,0
DEATH_ONLY,100,0x0005D66C,382572,128,128,0
DEATH_ONLY,100,0x0005D67D,382589,59,59,27
DEATH_ONLY,100,0x0005D67E,382590,52,52,162
DEATH_ONLY,100,0x0005D688,382600,255,255,0
DEATH_ONLY,100,0x0005D689,382601,255,255,0
DEATH_ONLY,100,0x0005D68A,382602,255,255,0
DEATH_ONLY,100,0x0005D68B,382603,255,255,0
DEATH_ONLY,100,0x0005D68C,382604,128,128,69
DEATH_ONLY,100,0x0005D68D,382605,59,59,119
DEATH_ONLY,100,0x0005D6CF,382671,0,0,136
DEATH_ONLY,100,0x0005D757,382807,0,0,1
DEATH_ONLY,100,0x0005D776,382838,0,0,25
DEATH_ONLY,100,0x0005D777,382839,0,0,91
DEATH_ONLY,100,0x0005D798,382872,192,192,64
DEATH_ONLY,100,0x0005D799,382873,57,57,80
DEATH_ONLY,100,0x0005D79A,382874,0,0,192
DEATH_ONLY,100,0x0005D7A4,382884,67,67,66
DEATH_ONLY,100,0x0005D7A6,382886,0,0,193
DEATH_ONLY,100,0x0005D7A7,382887,0,0,3
DEATH_ONLY,100,0x0005D810,382992,0,0,255
DEATH_ONLY,100,0x0005D811,382993,0,0,255
DEATH_ONLY,100,0x0005D812,382994,0,0,255
DEATH_ONLY,100,0x0005D813,382995,0,0,255
DEATH_ONLY,100,0x0005D814,382996,0,0,255
DEATH_ONLY,100,0x0005D815,382997,0,0,255
DEATH_ONLY,100,0x0005D816,382998,0,0,255
DEATH_ONLY,100,0x0005D817,382999,1,1,255
DEATH_ONLY,100,0x0005D81F,383007,2,2,0
DEATH_ONLY,100,0x0005D826,383014,0,0,4
DEATH_ONLY,100,0x0005D827,383015,1,1,0
DEATH_ONLY,100,0x0005D828,383016,255,255,0
DEATH_ONLY,100,0x0005D829,383017,255,255,0
DEATH_ONLY,100,0x0005D82A,383018,255,255,0
DEATH_ONLY,100,0x0005D82B,383019,255,255,0
DEATH_ONLY,100,0x0005D82C,383020,128,128,0
DEATH_ONLY,100,0x0005D82D,383021,5,5,0
DEATH_ONLY,100,0x0005D82E,383022,218,218,0
