relative_frame,emu_frame,phase,index,event,state,death,hit_signal,pointer_hex
0,2821,IDLE,0,START,0,0,0,0x801FABDC
0,2821,ROUTE,,MEMORY_CHANGE,0,0,0,0x801FABDC
0,2821,ROUTE,1,START,0,0,0,0x801FABDC
1,2822,ROUTE,2,,0,0,0,0x801FABDC
2,2823,ROUTE,3,,0,0,0,0x801FABDC
3,2824,ROUTE,4,,0,0,0,0x801FABDC
4,2825,ROUTE,5,,0,0,0,0x801FABDC
5,2826,ROUTE,6,,0,0,0,0x801FABDC
6,2827,ROUTE,7,,0,0,0,0x801FABDC
7,2828,ROUTE,8,,0,0,0,0x801FABDC
8,2829,ROUTE,9,,0,0,0,0x801FABDC
9,2830,ROUTE,10,,0,0,0,0x801FABDC
10,2831,ROUTE,11,,0,0,0,0x801FABDC
11,2832,ROUTE,12,,0,0,0,0x801FABDC
12,2833,ROUTE,13,,0,0,0,0x801FABDC
13,2834,ROUTE,14,,0,0,0,0x801FABDC
14,2835,ROUTE,15,,0,0,0,0x801FABDC
15,2836,ROUTE,16,,0,0,0,0x801FABDC
16,2837,ROUTE,17,,0,0,0,0x801FABDC
17,2838,ROUTE,18,,0,0,0,0x801FABDC
18,2839,ROUTE,19,,0,0,0,0x801FABDC
19,2840,ROUTE,20,,0,0,0,0x801FABDC
20,2841,ROUTE,21,,0,0,0,0x801FABDC
21,2842,ROUTE,22,,0,0,0,0x801FABDC
22,2843,ROUTE,23,,0,0,0,0x801FABDC
23,2844,ROUTE,24,,0,0,0,0x801FABDC
24,2845,ROUTE,25,,0,0,0,0x801FABDC
25,2846,ROUTE,26,,0,0,0,0x801FABDC
26,2847,ROUTE,27,,0,0,0,0x801FABDC
27,2848,ROUTE,28,,0,0,0,0x801FABDC
28,2849,ROUTE,29,,0,0,0,0x801FABDC
29,2850,ROUTE,30,,0,0,0,0x801FABDC
30,2851,ROUTE,31,,0,0,0,0x801FABDC
31,2852,ROUTE,32,,0,0,0,0x801FABDC
32,2853,ROUTE,33,,0,0,0,0x801FABDC
33,2854,ROUTE,34,,0,0,0,0x801FABDC
34,2855,ROUTE,35,,0,0,0,0x801FABDC
35,2856,ROUTE,36,,0,0,0,0x801FABDC
36,2857,ROUTE,37,,0,0,0,0x801FABDC
37,2858,ROUTE,38,,0,0,0,0x801FABDC
38,2859,ROUTE,39,,0,0,0,0x801FABDC
39,2860,ROUTE,40,,0,0,0,0x801FABDC
40,2861,ROUTE,41,,0,0,0,0x801FABDC
41,2862,ROUTE,42,,0,0,0,0x801FABDC
42,2863,ROUTE,43,,0,0,0,0x801FABDC
43,2864,ROUTE,44,,0,0,0,0x801FABDC
44,2865,ROUTE,45,,0,0,0,0x801FABDC
45,2866,ROUTE,46,,0,0,0,0x801FABDC
46,2867,ROUTE,47,,0,0,0,0x801FABDC
47,2868,ROUTE,48,,0,0,0,0x801FABDC
48,2869,ROUTE,49,,0,0,0,0x801FABDC
49,2870,ROUTE,50,,0,0,0,0x801FABDC
50,2871,ROUTE,51,,0,0,0,0x801FABDC
51,2872,ROUTE,52,,0,0,0,0x801FABDC
52,2873,ROUTE,53,,0,0,0,0x801FABDC
53,2874,ROUTE,54,,0,0,0,0x801FABDC
54,2875,ROUTE,55,,0,0,0,0x801FABDC
55,2876,ROUTE,56,,0,0,0,0x801FABDC
56,2877,ROUTE,57,,0,0,0,0x801FABDC
57,2878,ROUTE,58,,0,0,0,0x801FABDC
58,2879,ROUTE,59,,0,0,0,0x801FABDC
59,2880,ROUTE,60,,0,0,0,0x801FABDC
60,2881,ROUTE,61,,0,0,0,0x801FABDC
61,2882,ROUTE,62,,0,0,0,0x801FABDC
62,2883,ROUTE,63,,0,0,0,0x801FABDC
63,2884,ROUTE,64,,0,0,0,0x801FABDC
64,2885,ROUTE,65,,0,0,0,0x801FABDC
65,2886,ROUTE,66,,0,0,0,0x801FABDC
66,2887,ROUTE,67,,0,0,0,0x801FABDC
67,2888,ROUTE,68,,0,0,0,0x801FABDC
68,2889,ROUTE,69,,0,0,0,0x801FABDC
69,2890,ROUTE,70,,0,0,0,0x801FABDC
70,2891,ROUTE,71,,0,0,0,0x801FABDC
71,2892,ROUTE,72,,0,0,0,0x801FABDC
72,2893,ROUTE,73,,0,0,0,0x801FABDC
73,2894,ROUTE,74,,0,0,0,0x801FABDC
74,2895,ROUTE,75,,0,0,0,0x801FABDC
75,2896,ROUTE,76,,0,0,0,0x801FABDC
76,2897,ROUTE,77,,0,0,0,0x801FABDC
77,2898,ROUTE,78,,0,0,0,0x801FABDC
78,2899,ROUTE,79,,0,0,0,0x801FABDC
79,2900,ROUTE,80,,0,0,0,0x801FABDC
80,2901,ROUTE,81,,0,0,0,0x801FABDC
81,2902,ROUTE,82,,0,0,0,0x801FABDC
82,2903,ROUTE,83,,0,0,0,0x801FABDC
83,2904,ROUTE,84,,0,0,0,0x801FABDC
84,2905,ROUTE,85,,0,0,0,0x801FABDC
85,2906,ROUTE,86,,0,0,0,0x801FABDC
86,2907,ROUTE,87,,0,0,0,0x801FABDC
87,2908,ROUTE,88,,0,0,0,0x801FABDC
88,2909,ROUTE,89,,0,0,0,0x801FABDC
89,2910,ROUTE,90,,0,0,0,0x801FABDC
90,2911,ROUTE,91,,0,0,0,0x801FABDC
91,2912,ROUTE,92,,0,0,0,0x801FABDC
92,2913,ROUTE,93,,0,0,0,0x801FABDC
93,2914,ROUTE,94,,0,0,0,0x801FABDC
94,2915,ROUTE,95,,0,0,0,0x801FABDC
95,2916,ROUTE,96,,0,0,0,0x801FABDC
96,2917,ROUTE,97,,0,0,0,0x801FABDC
97,2918,ROUTE,98,,0,0,0,0x801FABDC
98,2919,ROUTE,99,,0,0,0,0x801FABDC
99,2920,ROUTE,100,,0,0,0,0x801FABDC
100,2921,ROUTE,101,,0,0,0,0x801FABDC
101,2922,ROUTE,102,,0,0,0,0x801FABDC
102,2923,ROUTE,103,,0,0,0,0x801FABDC
103,2924,ROUTE,104,,0,0,0,0x801FABDC
104,2925,ROUTE,105,,0,0,0,0x801FABDC
105,2926,ROUTE,106,,0,0,0,0x801FABDC
106,2927,ROUTE,107,,0,0,0,0x801FABDC
107,2928,ROUTE,108,,0,0,0,0x801FABDC
108,2929,ROUTE,109,,0,0,0,0x801FABDC
109,2930,ROUTE,110,,0,0,0,0x801FABDC
110,2931,ROUTE,111,,0,0,0,0x801FABDC
111,2932,ROUTE,112,,0,0,0,0x801FABDC
112,2933,ROUTE,113,,0,0,0,0x801FABDC
113,2934,ROUTE,114,,0,0,0,0x801FABDC
114,2935,ROUTE,115,,0,0,0,0x801FABDC
