relative_frame,emu_frame,route_index,event,checkpoint,state,death,hitSignal,pointer_hex,aux,differences
0,3081,1,START,,0,0,0,0x801FABDC,0,""
0,3081,1,CHECKPOINT_CAPTURE,START,0,0,0,0x801FABDC,0,""
0,3081,1,START,,0,0,0,0x801FABDC,0,""
1,3082,2,,,0,0,0,0x801FABDC,0,""
2,3083,3,,,0,0,0,0x801FABDC,0,""
3,3084,4,,,0,0,0,0x801FABDC,0,""
4,3085,5,,,0,0,0,0x801FABDC,0,""
5,3086,6,,,0,0,0,0x801FABDC,0,""
6,3087,7,,,0,0,0,0x801FABDC,0,""
7,3088,8,,,0,0,0,0x801FABDC,0,""
8,3089,9,,,0,0,0,0x801FABDC,0,""
9,3090,10,,,0,0,0,0x801FABDC,0,""
10,3091,11,,,0,0,0,0x801FABDC,0,""
11,3092,12,,,0,0,0,0x801FABDC,0,""
12,3093,13,,,0,0,0,0x801FABDC,0,""
13,3094,14,,,0,0,0,0x801FABDC,0,""
14,3095,15,,,0,0,0,0x801FABDC,0,""
15,3096,16,,,0,0,0,0x801FABDC,0,""
16,3097,17,,,0,0,0,0x801FABDC,0,""
17,3098,18,,,0,0,0,0x801FABDC,0,""
18,3099,19,,,0,0,0,0x801FABDC,0,""
19,3100,20,,,0,0,0,0x801FABDC,0,""
20,3101,21,,,0,0,0,0x801FABDC,0,""
21,3102,22,,,0,0,0,0x801FABDC,0,""
22,3103,23,,,0,0,0,0x801FABDC,0,""
23,3104,24,,,0,0,0,0x801FABDC,0,""
24,3105,25,,,0,0,0,0x801FABDC,0,""
25,3106,26,,,0,0,0,0x801FABDC,0,""
26,3107,27,,,0,0,0,0x801FABDC,0,""
27,3108,28,,,0,0,0,0x801FABDC,0,""
28,3109,29,,,0,0,0,0x801FABDC,0,""
29,3110,30,,,0,0,0,0x801FABDC,0,""
30,3111,31,,,0,0,0,0x801FABDC,0,""
31,3112,32,,,0,0,0,0x801FABDC,0,""
32,3113,33,,,0,0,0,0x801FABDC,0,""
33,3114,34,,,0,0,0,0x801FABDC,0,""
34,3115,35,,,0,0,0,0x801FABDC,0,""
35,3116,36,,,0,0,0,0x801FABDC,0,""
36,3117,37,,,0,0,0,0x801FABDC,0,""
37,3118,38,,,0,0,0,0x801FABDC,0,""
38,3119,39,,,0,0,0,0x801FABDC,0,""
39,3120,40,,,0,0,0,0x801FABDC,0,""
40,3121,41,,,0,0,0,0x801FABDC,0,""
41,3122,42,,,0,0,0,0x801FABDC,0,""
42,3123,43,,,0,0,0,0x801FABDC,0,""
43,3124,44,,,0,0,0,0x801FABDC,0,""
44,3125,45,,,0,0,0,0x801FABDC,0,""
45,3126,46,,,0,0,0,0x801FABDC,0,""
46,3127,47,,,0,0,0,0x801FABDC,0,""
47,3128,48,,,0,0,0,0x801FABDC,0,""
48,3129,49,,,0,0,0,0x801FABDC,0,""
49,3130,50,,,0,0,0,0x801FABDC,0,""
50,3131,51,,,0,0,0,0x801FABDC,0,""
51,3132,52,,,0,0,0,0x801FABDC,0,""
52,3133,53,,,0,0,0,0x801FABDC,0,""
53,3134,54,,,0,0,0,0x801FABDC,0,""
54,3135,55,,,0,0,0,0x801FABDC,0,""
55,3136,56,,,0,0,0,0x801FABDC,0,""
56,3137,57,,,0,0,0,0x801FABDC,0,""
57,3138,58,,,0,0,0,0x801FABDC,0,""
58,3139,59,,,0,0,0,0x801FABDC,0,""
59,3140,60,,,0,0,0,0x801FABDC,0,""
60,3141,61,,,0,0,0,0x801FABDC,0,""
61,3142,62,,,0,0,0,0x801FABDC,0,""
62,3143,63,,,0,0,0,0x801FABDC,0,""
63,3144,64,,,0,0,0,0x801FABDC,0,""
64,3145,65,,,0,0,0,0x801FABDC,0,""
65,3146,66,,,0,0,0,0x801FABDC,0,""
66,3147,67,,,0,0,0,0x801FABDC,0,""
67,3148,68,,,0,0,0,0x801FABDC,0,""
68,3149,69,,,0,0,0,0x801FABDC,0,""
69,3150,70,,,0,0,0,0x801FABDC,0,""
70,3151,71,,,0,0,0,0x801FABDC,0,""
71,3152,72,,,0,0,0,0x801FABDC,0,""
72,3153,73,,,0,0,0,0x801FABDC,0,""
73,3154,74,,,0,0,0,0x801FABDC,0,""
74,3155,75,,,0,0,0,0x801FABDC,0,""
75,3156,76,,,0,0,0,0x801FABDC,0,""
76,3157,77,,,0,0,0,0x801FABDC,0,""
77,3158,78,,,0,0,0,0x801FABDC,0,""
78,3159,79,,,0,0,0,0x801FABDC,0,""
79,3160,80,,,0,0,0,0x801FABDC,0,""
80,3161,81,,,0,0,0,0x801FABDC,0,""
81,3162,82,,,0,0,0,0x801FABDC,0,""
82,3163,83,,,0,0,0,0x801FABDC,0,""
83,3164,84,,,0,0,0,0x801FABDC,0,""
84,3165,85,,,0,0,0,0x801FABDC,0,""
85,3166,86,,,0,0,0,0x801FABDC,0,""
86,3167,87,,,0,0,0,0x801FABDC,0,""
87,3168,88,,,0,0,0,0x801FABDC,0,""
88,3169,89,,,0,0,0,0x801FABDC,0,""
89,3170,90,,,0,0,0,0x801FABDC,0,""
90,3171,91,,,0,0,0,0x801FABDC,0,""
91,3172,92,,,0,0,0,0x801FABDC,0,""
92,3173,93,,,0,0,0,0x801FABDC,0,""
93,3174,94,,,0,0,0,0x801FABDC,0,""
94,3175,95,,,0,0,0,0x801FABDC,0,""
95,3176,96,,,0,0,0,0x801FABDC,0,""
96,3177,97,,,0,0,0,0x801FABDC,0,""
97,3178,98,,,0,0,0,0x801FABDC,0,""
98,3179,99,,,0,0,0,0x801FABDC,0,""
99,3180,100,,,0,0,0,0x801FABDC,0,""
100,3181,101,,,0,0,0,0x801FABDC,0,""
101,3182,102,,,0,0,0,0x801FABDC,0,""
102,3183,103,,,0,0,0,0x801FABDC,0,""
103,3184,104,,,0,0,0,0x801FABDC,0,""
104,3185,105,,,0,0,0,0x801FABDC,0,""
105,3186,106,,,0,0,0,0x801FABDC,0,""
106,3187,107,,,0,0,0,0x801FABDC,0,""
