rank,address_hex,kind,score,base,move_x,move_z,rotate,delta_x,delta_z,delta_rotate
1,0x00285CA8,Z_CANDIDATE,723957.69923277,-0.04119585454464,-0.0028798012062907,-724110.5,-152.76245117188,0.038316053338349,724110.45880415,152.72125531733
2,0x0005D77C,X_CANDIDATE,703911.62158203,-7481.1909179688,711319.9375,255.0,-327.875,718801.12841797,7736.1909179688,7153.3159179688
3,0x00285CAC,Z_CANDIDATE,337274.2130809,-0.025480575859547,-0.0016840305179358,-337475.0,-200.76312255859,0.023796545341611,337474.97451942,200.73764198273
4,0x003B3158,Z_CANDIDATE,229347.5,229442.40625,229462.5625,67.0,229450.15625,20.15625,229375.40625,7.75
5,0x0005D774,X_CANDIDATE,114843.21057129,65364.33203125,309667.71875,4.0,1264.4879150391,244303.38671875,65360.33203125,64099.844116211
6,0x0005E674,Z_CANDIDATE,32664.435546875,32768.0,32768.0,103.564453125,32768.0,0.0,32664.435546875,0.0
7,0x002861C0,ROTATION_CANDIDATE,32354.689848694,-0.0026966938748956,-0.00014946208102629,-0.79979157447815,-32355.4921875,0.0025472317938693,0.79709488060325,32355.489490806
8,0x001052D0,ROTATION_CANDIDATE,24151.82421875,16667.875,16666.91796875,16682.224609375,-7499.255859375,0.95703125,14.349609375,24167.130859375
9,0x000F8AD0,ROTATION_CANDIDATE,24147.982421875,16665.9296875,16668.900390625,16680.220703125,-7499.314453125,2.970703125,14.291015625,24165.244140625
10,0x000D2FA4,ROTATION_CANDIDATE,22839.348632813,-16310.525390625,-16405.03125,-16332.0,6644.8037109375,94.505859375,21.474609375,22955.329101563
11,0x0007997C,ROTATION_CANDIDATE,21493.359375,291.7314453125,243.7412109375,377.892578125,21919.2421875,47.990234375,86.1611328125,21627.510742188
12,0x002E1588,X_CANDIDATE,20537.761098623,-1.3841454982758,20536.376953125,-1.3841454982758,-1.3841454982758,20537.761098623,0.0,0.0
13,0x003B3290,Z_CANDIDATE,20520.817626953,-1636.1867675781,-1641.7353515625,18892.314453125,-1638.3217773438,5.548583984375,20528.501220703,2.135009765625
14,0x003B2F84,ROTATION_CANDIDATE,20182.306674084,0.0,0.0,0.0019196663051844,20182.30859375,0.0,0.0019196663051844,20182.30859375
15,0x003B2CAC,Z_CANDIDATE,20074.73046875,255.0,255.0,20329.73046875,255.0,0.0,20074.73046875,0.0
16,0x003B31D8,ROTATION_CANDIDATE,20000.664039612,-9.0621099472046,-9.2554922103882,0.0,20000.857421875,0.19338226318359,9.0621099472046,20009.919531822
17,0x003B31CC,ROTATION_CANDIDATE,19730.361901343,-0.26698797941208,0.39454817771912,0.0,19731.0234375,0.6615361571312,0.26698797941208,19731.290425479
18,0x003B2CB8,Z_CANDIDATE,19627.955810547,196.05068969727,195.59492492676,19824.626953125,195.88600158691,0.45576477050781,19628.576263428,0.16468811035156
19,0x003B3338,Z_CANDIDATE,17958.234199643,27473.087890625,29517.236328125,-1.5252152681351,20000.857421875,2044.1484375,27474.613105893,7472.23046875
20,0x003B317C,Z_CANDIDATE,17869.99597168,1022.3184814453,1022.3184814453,18892.314453125,1022.3184814453,0.0,17869.99597168,0.0
21,0x003B31D4,ROTATION_CANDIDATE,17188.646332741,-9.0681533813477,-9.261664390564,0.0,17188.83984375,0.19351100921631,9.0681533813477,17197.907997131
22,0x003B2F8C,ROTATION_CANDIDATE,17028.438110352,0.0,0.0,191.02673339844,17219.46484375,0.0,191.02673339844,17219.46484375
23,0x003B31C8,ROTATION_CANDIDATE,16744.628967285,-128.07434082031,-128.06658935547,0.0,16744.63671875,0.00775146484375,128.07434082031,16872.71105957
24,0x003B2CB4,Z_CANDIDATE,16726.281570435,204.17657470703,202.78900146484,16932.12109375,203.90119934082,1.3875732421875,16727.944519043,0.27537536621094
25,0x003B31D0,ROTATION_CANDIDATE,16715.220977783,221.84509277344,221.82070922852,0.0,17158.935546875,0.024383544921875,221.84509277344,16937.090454102
26,0x003B2CB0,Z_CANDIDATE,16669.375366211,215.37063598633,215.06845092773,16885.6015625,215.92401123047,0.30218505859375,16670.230926514,0.55337524414063
27,0x003B32E4,Z_CANDIDATE,15887.89453125,18575.546875,18598.185546875,2246.0,18156.533203125,22.638671875,16329.546875,419.013671875
28,0x0007996C,ROTATION_CANDIDATE,15228.850585938,25819.81640625,25767.41015625,25924.88671875,10433.489257813,52.40625,105.0703125,15386.327148438
29,0x0005D78C,Z_CANDIDATE,14831.08984375,16961.994140625,17886.896484375,230.0,17937.99609375,924.90234375,16731.994140625,976.001953125
30,0x003B2FAC,ROTATION_CANDIDATE,13130.893066406,319.75,0.0,-2492.4545898438,16582.59765625,319.75,2812.2045898438,16262.84765625
31,0x003B30B0,Z_CANDIDATE,9597.341796875,9746.8857421875,9847.9814453125,0.0,9795.333984375,101.095703125,9746.8857421875,48.4482421875
32,0x003B30A4,Z_CANDIDATE,9597.337890625,-9746.884765625,-9847.984375,0.0,-9795.33203125,101.099609375,9746.884765625,48.447265625
33,0x003B30A8,Z_CANDIDATE,9597.3369140625,9746.884765625,9847.9814453125,0.0,9795.3359375,101.0966796875,9746.884765625,48.451171875
