label,index,name,address_hex,value
REFERENCE,1,m11,0x00079950,0.56172865629196
REFERENCE,2,m12,0x00079954,-0.82729184627533
REFERENCE,3,m13,0x00079958,0.0070165046490729
REFERENCE,4,m21,0x00079960,0.63191312551498
REFERENCE,5,m22,0x00079964,0.046954017132521
REFERENCE,6,m23,0x00079968,0.77361553907394
REFERENCE,7,m31,0x00079970,0.6507596373558
REFERENCE,8,m32,0x00079974,0.046761963516474
REFERENCE,9,m33,0x00079978,-0.75784248113632
LEFT,1,m11,0x00079950,0.31683170795441
LEFT,2,m12,0x00079954,-0.82877695560455
LEFT,3,m13,0x00079958,-0.46124455332756
LEFT,4,m21,0x00079960,0.99391400814056
LEFT,5,m22,0x00079964,0.047341257333755
LEFT,6,m23,0x00079968,-0.099467873573303
LEFT,7,m31,0x00079970,-0.27216759324074
LEFT,8,m32,0x00079974,0.042968548834324
LEFT,9,m33,0x00079978,-0.9612900018692
RIGHT,1,m11,0x00079950,0.25086665153503
RIGHT,2,m12,0x00079954,-0.82782208919525
RIGHT,3,m13,0x00079958,0.501773416996
RIGHT,4,m21,0x00079960,-0.40082344412804
RIGHT,5,m22,0x00079964,0.044759705662727
RIGHT,6,m23,0x00079968,0.91506123542786
RIGHT,7,m31,0x00079970,0.97103881835938
RIGHT,8,m32,0x00079974,0.047740824520588
RIGHT,9,m33,0x00079978,0.23410311341286
UP,1,m11,0x00079950,-0.064600110054016
UP,2,m12,0x00079954,-0.99791121482849
UP,3,m13,0x00079958,0.00011673732660711
UP,4,m21,0x00079960,0.52923059463501
UP,5,m22,0x00079964,-0.35638996958733
UP,6,m23,0x00079968,0.77000081539154
UP,7,m31,0x00079970,0.54073929786682
UP,8,m32,0x00079974,-0.35731413960457
UP,9,m33,0x00079978,-0.76152980327606
DOWN,1,m11,0x00079950,0.9333907365799
DOWN,2,m12,0x00079954,-0.35878238081932
DOWN,3,m13,0x00079958,0.0075447871349752
DOWN,4,m21,0x00079960,0.49359330534935
DOWN,5,m22,0x00079964,0.40408545732498
DOWN,6,m23,0x00079968,0.77011722326279
DOWN,7,m31,0x00079970,0.50628423690796
DOWN,8,m32,0x00079974,0.40489530563354
DOWN,9,m33,0x00079978,-0.76140397787094
