GoldenEyeDiagnostic 0.0.5.6.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Scan range: 0x00000000-0x007FFFFC
Step: 4 bytes
Candidates exported: 1956
CSV: .\output\arm-horizontal-candidates-20260729-183052.csv

Snapshots:
NO_TARGET | frame=2710
TARGET_LEFT | frame=3671
TARGET_RIGHT | frame=5217
MANUAL_AIM | frame=6523

Top 100:
1 | address=0x0027C368 | kind=ARM_HORIZONTAL_CANDIDATE | score=1399924.375 | base=-460356.75 | left=-125327.125 | right=-855192.25 | manual=-72.379638671875 | dLeft=335029.625 | dRight=-394835.5 | signOpposed=true
2 | address=0x0027C364 | kind=MANUAL_AIM_CANDIDATE | score=874406.36965942 | base=-986258.5 | left=-386626.75 | right=-468552.75 | manual=-118.38034057617 | dLeft=599631.75 | dRight=517705.75 | signOpposed=false
3 | address=0x0009B66C | kind=ARM_RIGHT_CANDIDATE | score=742110.4515564 | base=824479.9375 | left=824479.9375 | right=0.0 | manual=785.07806396484 | dLeft=0.0 | dRight=-824479.9375 | signOpposed=false
4 | address=0x0009B6AC | kind=ARM_RIGHT_CANDIDATE | score=742110.4515564 | base=824479.9375 | left=824479.9375 | right=0.0 | manual=785.07806396484 | dLeft=0.0 | dRight=-824479.9375 | signOpposed=false
5 | address=0x002E2F10 | kind=MANUAL_AIM_CANDIDATE | score=635410.6875 | base=0.0 | left=0.0 | right=0.0 | manual=635410.6875 | dLeft=0.0 | dRight=0.0 | signOpposed=false
6 | address=0x001A02C8 | kind=MANUAL_AIM_CANDIDATE | score=524288.1 | base=0.0 | left=-655360.125 | right=-655360.125 | manual=-655360.125 | dLeft=-655360.125 | dRight=-655360.125 | signOpposed=false
7 | address=0x001A035C | kind=MANUAL_AIM_CANDIDATE | score=471859.25 | base=0.0 | left=589824.0625 | right=589824.0625 | manual=589824.0625 | dLeft=589824.0625 | dRight=589824.0625 | signOpposed=false
8 | address=0x003B3320 | kind=ARM_LEFT_CANDIDATE | score=240613.734375 | base=0.0 | left=240613.734375 | right=0.0 | manual=0.0 | dLeft=240613.734375 | dRight=0.0 | signOpposed=false
9 | address=0x003B3154 | kind=ARM_HORIZONTAL_CANDIDATE | score=229673.04882813 | base=27.0 | left=229595.640625 | right=-7.802734375 | manual=-7.4306640625 | dLeft=229568.640625 | dRight=-34.802734375 | signOpposed=true
10 | address=0x003B3158 | kind=ARM_HORIZONTAL_CANDIDATE | score=229559.25610352 | base=67.0 | left=229452.640625 | right=9.128173828125 | manual=55.0615234375 | dLeft=229385.640625 | dRight=-57.871826171875 | signOpposed=true
11 | address=0x003B311C | kind=ARM_LEFT_CANDIDATE | score=229528.34375 | base=1.0 | left=229529.34375 | right=1.0 | manual=1.0 | dLeft=229528.34375 | dRight=0.0 | signOpposed=false
12 | address=0x003B32FC | kind=ARM_LEFT_CANDIDATE | score=229311.5625 | base=0.0 | left=229311.5625 | right=0.0 | manual=0.0 | dLeft=229311.5625 | dRight=0.0 | signOpposed=false
13 | address=0x003B314C | kind=ARM_LEFT_CANDIDATE | score=226923.5074707 | base=100.0 | left=229311.59375 | right=4658.90625 | manual=13.66845703125 | dLeft=229211.59375 | dRight=4558.90625 | signOpposed=false
14 | address=0x003B331C | kind=ARM_LEFT_CANDIDATE | score=183391.4375 | base=0.0 | left=-183391.4375 | right=0.0 | manual=0.0 | dLeft=-183391.4375 | dRight=0.0 | signOpposed=false
15 | address=0x002E2FAC | kind=MANUAL_AIM_CANDIDATE | score=173199.6875 | base=0.0 | left=0.0 | right=0.0 | manual=173199.6875 | dLeft=0.0 | dRight=0.0 | signOpposed=false
16 | address=0x00091C4C | kind=ARM_RIGHT_CANDIDATE | score=133697.20775757 | base=-147767.375 | left=-147767.375 | right=785.07806396484 | manual=785.07806396484 | dLeft=0.0 | dRight=148552.45306396 | signOpposed=false
17 | address=0x00099A34 | kind=ARM_RIGHT_CANDIDATE | score=132976.2375 | base=-147751.375 | left=-147751.375 | right=0.0 | manual=0.0 | dLeft=0.0 | dRight=147751.375 | signOpposed=false
18 | address=0x003B3608 | kind=ARM_HORIZONTAL_CANDIDATE | score=130514.953125 | base=-208183.9375 | left=-183394.234375 | right=-264329.78125 | manual=-241737.140625 | dLeft=24789.703125 | dRight=-56145.84375 | signOpposed=true
19 | address=0x00098ECC | kind=ARM_RIGHT_CANDIDATE | score=127280.36293945 | base=-147751.375 | left=-147751.375 | right=-6328.7495117188 | manual=-6328.7495117188 | dLeft=0.0 | dRight=141422.62548828 | signOpposed=false
20 | address=0x0019FB30 | kind=MANUAL_AIM_CANDIDATE | score=111411.2125 | base=0.0 | left=-139264.015625 | right=-139264.015625 | manual=-139264.015625 | dLeft=-139264.015625 | dRight=-139264.015625 | signOpposed=false
21 | address=0x00098838 | kind=ARM_RIGHT_CANDIDATE | score=108302.3859375 | base=120335.984375 | left=120335.984375 | right=0.0 | manual=0.0 | dLeft=0.0 | dRight=-120335.984375 | signOpposed=false
22 | address=0x002E2CC4 | kind=ARM_RIGHT_CANDIDATE | score=62533.171041083 | base=0.0 | left=0.0 | right=62533.3203125 | manual=-1.4927141666412 | dLeft=0.0 | dRight=62533.3203125 | signOpposed=false
23 | address=0x00032310 | kind=MANUAL_AIM_CANDIDATE | score=52428.799804688 | base=13107.200195313 | left=13107.200195313 | right=13107.200195313 | manual=65536.0 | dLeft=0.0 | dRight=0.0 | signOpposed=false
