rank,address_hex,kind,score,no_target,target_left,target_right,manual_aim,delta_left,delta_right,delta_manual,opposition,symmetry,sign_opposed,horizontal_score,left_score,right_score,manual_score
1,0x0027C368,ARM_HORIZONTAL_CANDIDATE,1399924.375,-460356.75,-125327.125,-855192.25,-72.379638671875,335029.625,-394835.5,460284.37036133,729865.125,59805.875,true,1399924.375,91583.437963867,181292.25046387,387297.85786133
2,0x0027C364,MANUAL_AIM_CANDIDATE,874406.36965942,-986258.5,-386626.75,-468552.75,-118.38034057617,599631.75,517705.75,986140.11965942,81926.0,81926.0,false,0.0,242164.86303406,119275.86303406,874406.36965942
3,0x0009B66C,ARM_RIGHT_CANDIDATE,742110.4515564,824479.9375,824479.9375,0.0,785.07806396484,0.0,-824479.9375,-823694.85943604,824479.9375,824479.9375,false,0.0,-494609.4546936,742110.4515564,741246.86568604
4,0x0009B6AC,ARM_RIGHT_CANDIDATE,742110.4515564,824479.9375,824479.9375,0.0,785.07806396484,0.0,-824479.9375,-823694.85943604,824479.9375,824479.9375,false,0.0,-494609.4546936,742110.4515564,741246.86568604
5,0x002E2F10,MANUAL_AIM_CANDIDATE,635410.6875,0.0,0.0,0.0,635410.6875,0.0,0.0,635410.6875,0.0,0.0,false,0.0,-63541.06875,-63541.06875,635410.6875
6,0x001A02C8,MANUAL_AIM_CANDIDATE,524288.1,0.0,-655360.125,-655360.125,-655360.125,-655360.125,-655360.125,-655360.125,0.0,0.0,false,0.0,262144.05,262144.05,524288.1
7,0x001A035C,MANUAL_AIM_CANDIDATE,471859.25,0.0,589824.0625,589824.0625,589824.0625,589824.0625,589824.0625,589824.0625,0.0,0.0,false,0.0,235929.625,235929.625,471859.25
8,0x003B3320,ARM_LEFT_CANDIDATE,240613.734375,0.0,240613.734375,0.0,0.0,240613.734375,0.0,0.0,240613.734375,240613.734375,false,0.0,240613.734375,-120306.8671875,-24061.3734375
9,0x003B3154,ARM_HORIZONTAL_CANDIDATE,229673.04882813,27.0,229595.640625,-7.802734375,-7.4306640625,229568.640625,-34.802734375,-34.4306640625,229603.44335938,229533.83789063,true,229673.04882813,229547.79619141,-114752.96064453,-22925.913671875
10,0x003B3158,ARM_HORIZONTAL_CANDIDATE,229559.25610352,67.0,229452.640625,9.128173828125,55.0615234375,229385.640625,-57.871826171875,-11.9384765625,229443.51245117,229327.76879883,true,229559.25610352,229355.51086426,-114636.14233398,-22932.412768555
11,0x003B311C,ARM_LEFT_CANDIDATE,229528.34375,1.0,229529.34375,1.0,1.0,229528.34375,0.0,0.0,229528.34375,229528.34375,false,0.0,229528.34375,-114764.171875,-22952.834375
12,0x003B32FC,ARM_LEFT_CANDIDATE,229311.5625,0.0,229311.5625,0.0,0.0,229311.5625,0.0,0.0,229311.5625,229311.5625,false,0.0,229311.5625,-114655.78125,-22931.15625
13,0x003B314C,ARM_LEFT_CANDIDATE,226923.5074707,100.0,229311.59375,4658.90625,13.66845703125,229211.59375,4558.90625,-86.33154296875,224652.6875,224652.6875,false,0.0,226923.5074707,-110055.5237793,-23290.718457031
14,0x003B331C,ARM_LEFT_CANDIDATE,183391.4375,0.0,-183391.4375,0.0,0.0,-183391.4375,0.0,0.0,183391.4375,183391.4375,false,0.0,183391.4375,-91695.71875,-18339.14375
15,0x002E2FAC,MANUAL_AIM_CANDIDATE,173199.6875,0.0,0.0,0.0,173199.6875,0.0,0.0,173199.6875,0.0,0.0,false,0.0,-17319.96875,-17319.96875,173199.6875
16,0x00091C4C,ARM_RIGHT_CANDIDATE,133697.20775757,-147767.375,-147767.375,785.07806396484,785.07806396484,0.0,148552.45306396,148552.45306396,148552.45306396,148552.45306396,false,0.0,-89131.471838379,133697.20775757,133697.20775757
17,0x00099A34,ARM_RIGHT_CANDIDATE,132976.2375,-147751.375,-147751.375,0.0,0.0,0.0,147751.375,147751.375,147751.375,147751.375,false,0.0,-88650.825,132976.2375,132976.2375
18,0x003B3608,ARM_HORIZONTAL_CANDIDATE,130514.953125,-208183.9375,-183394.234375,-264329.78125,-241737.140625,24789.703125,-56145.84375,-33553.203125,80935.546875,31356.140625,true,130514.953125,-6638.5390625,40395.671875,25459.6484375
19,0x00098ECC,ARM_RIGHT_CANDIDATE,127280.36293945,-147751.375,-147751.375,-6328.7495117188,-6328.7495117188,0.0,141422.62548828,141422.62548828,141422.62548828,141422.62548828,false,0.0,-84853.575292969,127280.36293945,127280.36293945
20,0x0019FB30,MANUAL_AIM_CANDIDATE,111411.2125,0.0,-139264.015625,-139264.015625,-139264.015625,-139264.015625,-139264.015625,-139264.015625,0.0,0.0,false,0.0,55705.60625,55705.60625,111411.2125
21,0x00098838,ARM_RIGHT_CANDIDATE,108302.3859375,120335.984375,120335.984375,0.0,0.0,0.0,-120335.984375,-120335.984375,120335.984375,120335.984375,false,0.0,-72201.590625,108302.3859375,108302.3859375
22,0x002E2CC4,ARM_RIGHT_CANDIDATE,62533.171041083,0.0,0.0,62533.3203125,-1.4927141666412,0.0,62533.3203125,-1.4927141666412,62533.3203125,62533.3203125,false,0.0,-31266.809427667,62533.171041083,-6251.8393170834
23,0x00032310,MANUAL_AIM_CANDIDATE,52428.799804688,13107.200195313,13107.200195313,13107.200195313,65536.0,0.0,0.0,52428.799804688,0.0,0.0,false,0.0,-5242.8799804688,-5242.8799804688,52428.799804688
24,0x0005D77C,MANUAL_AIM_CANDIDATE,46241.28125,-1510.4765625,-54.0,15.0,45029.0,1456.4765625,1525.4765625,46539.4765625,69.0,69.0,false,0.0,-3960.209375,-3856.709375,46241.28125
25,0x0005D78C,MANUAL_AIM_CANDIDATE,32796.034936523,40610.12109375,-2.6416015625,3352.0222167969,27.0,-40612.762695313,-37258.098876953,-40583.12109375,3354.6638183594,3354.6638183594,false,0.0,17925.401147461,12893.405419922,32796.034936523
26,0x000F8F38,MANUAL_AIM_CANDIDATE,32206.900863453,-39560.39453125,-3068.7673339844,-2517.0517578125,0.0033292730804533,36491.627197266,37043.342773438,39560.397860523,551.71557617188,551.71557617188,false,0.0,14013.916024495,14841.489388752,32206.900863453
27,0x000F8AD8,ARM_LEFT_CANDIDATE,31880.488574219,-20285.07421875,16480.80078125,-11444.828125,-15632.440429688,36765.875,8840.24609375,4652.6337890625,27925.62890625,27925.62890625,false,0.0,31880.488574219,-10007.954785156,92.0216796875
28,0x001052D8,ARM_LEFT_CANDIDATE,31879.543554688,-20287.2578125,16481.15625,-11439.787109375,-15635.90625,36768.4140625,8847.470703125,4651.3515625,27920.943359375,27920.943359375,false,0.0,31879.543554688,-10001.871484375,89.763085937499
29,0x00079980,ARM_LEFT_CANDIDATE,31878.323535156,20285.07421875,-16481.15625,11439.787109375,15632.440429688,-36766.23046875,-8845.287109375,-4652.6337890625,27920.943359375,27920.943359375,false,0.0,31878.323535156,-10003.091503906,91.48203125
30,0x002E30BC,MANUAL_AIM_CANDIDATE,30967.5,0.0,0.0,0.0,-30967.5,0.0,0.0,-30967.5,0.0,0.0,false,0.0,-3096.75,-3096.75,30967.5
