frame,event,state,gate_enabled,memory_remaining,ready_count,lost_count,screen_x,screen_x_copy,raw_horizontal,normalized,arm_ready,raw_detected,normalized_detected,auto_aim_detected,centered_for_lost,raw_quiet,normalized_quiet,target_lost_candidate
18035,SAMPLE,IDLE,false,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18040,SAMPLE,IDLE,false,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18045,SAMPLE,IDLE,false,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18050,SAMPLE,IDLE,false,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18055,SAMPLE,IDLE,false,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18060,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18065,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18070,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18075,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18080,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18085,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18090,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18095,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18100,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18105,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18110,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18115,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18120,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18125,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18130,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18135,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18140,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18145,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18150,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18155,SAMPLE,IDLE,true,0,0,0,160.0,160.0,0.0,0.0,true,false,false,false,true,true,true,true
18157,ACQUIRED,TRACKING,true,45,0,0,147.50079345703,147.50079345703,-65.463096618652,0.06545877456665,false,true,true,true,false,false,false,false
18160,SAMPLE,TRACKING,true,45,0,0,131.41923522949,131.41923522949,-148.35021972656,0.14882242679596,false,true,true,true,false,false,false,false
18165,SAMPLE,TRACKING,true,45,0,0,141.82102966309,141.82102966309,-94.983459472656,0.095084309577942,false,true,true,true,false,false,false,false
18170,SAMPLE,TRACKING,true,45,0,0,152.64538574219,152.64538574219,-38.572982788086,0.038517951965332,false,true,true,true,false,false,false,false
18175,SAMPLE,SHOT_READY,true,44,1,0,157.02456665039,157.02456665039,-15.615069389343,0.015555739402771,true,false,false,false,false,false,false,false
18176,AUTO_SHOT,FIRED,true,43,2,0,157.02456665039,157.02456665039,-15.615069389343,0.015555739402771,true,false,false,false,false,false,false,false
18180,SAMPLE,TARGET_LOCKED,true,0,0,0,158.10745239258,158.10745239258,-9.932806968689,0.0098512172698975,true,false,false,false,true,false,false,false
18185,SAMPLE,TARGET_LOCKED,true,0,0,0,159.10969543457,159.10969543457,-4.6728358268738,0.0046260356903076,true,false,false,false,true,false,false,false
18190,SAMPLE,TARGET_LOCKED,true,0,0,2,159.63981628418,159.63981628418,-1.8904707431793,0.0017976760864258,true,false,false,false,true,true,true,true
18195,SAMPLE,TARGET_LOCKED,true,0,0,7,159.80297851563,159.80297851563,-1.0340939760208,0.00098276138305664,true,false,false,false,true,true,true,true
18200,SAMPLE,TARGET_LOCKED,true,0,0,12,159.93144226074,159.93144226074,-0.3598347902298,0.00031161308288574,true,false,false,false,true,true,true,true
18205,SAMPLE,TARGET_LOCKED,true,0,0,17,159.97225952148,159.97225952148,-0.1455997377634,7.1883201599121e-05,true,false,false,false,true,true,true,true
18210,SAMPLE,TARGET_LOCKED,true,0,0,22,159.98236083984,159.98236083984,-0.092581570148468,2.3961067199707e-05,true,false,false,false,true,true,true,true
18215,SAMPLE,TARGET_LOCKED,true,0,0,27,159.9938659668,159.9938659668,-0.032195322215557,-2.3841857910156e-05,true,false,false,false,true,true,true,true
18220,SAMPLE,TARGET_LOCKED,true,0,0,32,159.99609375,159.99609375,-0.020502492785454,-2.3841857910156e-05,true,false,false,false,true,true,true,true
18225,SAMPLE,TARGET_LOCKED,true,0,0,0,148.88696289063,148.88696289063,-58.229343414307,0.058220267295837,false,true,true,true,false,false,false,false
18230,SAMPLE,TARGET_LOCKED,true,0,0,0,155.50402832031,155.50402832031,-23.591161727905,0.023561358451843,false,true,true,true,false,false,false,false
18235,SAMPLE,TARGET_LOCKED,true,0,0,0,157.14030456543,157.14030456543,-15.007817268372,0.014932632446289,true,false,false,false,false,false,false,false
18240,SAMPLE,TARGET_LOCKED,true,0,0,0,158.84306335449,158.84306335449,-6.0722303390503,0.0060162544250488,true,false,false,false,true,false,false,false
18245,SAMPLE,TARGET_LOCKED,true,0,0,0,159.53193664551,159.53193664551,-2.4566879272461,0.0038110017776489,true,false,false,false,true,false,false,false
18250,SAMPLE,TARGET_LOCKED,true,0,0,0,142.23297119141,142.23297119141,-92.849868774414,0.092927098274231,false,true,true,true,false,false,false,false
18255,SAMPLE,TARGET_LOCKED,true,0,0,0,133.58224487305,133.58224487305,-137.34204101563,0.13774883747101,false,true,true,true,false,false,false,false
18260,SAMPLE,TARGET_LOCKED,true,0,0,0,131.01536560059,131.01536560059,-150.39801025391,0.15093159675598,false,true,true,true,false,false,false,false
18265,SAMPLE,TARGET_LOCKED,true,0,0,0,127.76971435547,127.76971435547,-166.79508972168,0.16756594181061,false,true,true,true,false,false,false,false
18270,SAMPLE,TARGET_LOCKED,true,0,0,0,126.7113494873,126.7113494873,-172.11280822754,0.17293500900269,false,true,true,true,false,false,false,false
18275,SAMPLE,TARGET_LOCKED,true,0,0,0,125.27174377441,125.27174377441,-179.32066345215,0.18026947975159,false,true,true,true,false,false,false,false
18280,SAMPLE,TARGET_LOCKED,true,0,0,0,124.55506896973,124.55506896973,-182.89695739746,0.18391263484955,false,true,true,true,false,false,false,false
