frame,event,state,gate_enabled,attempt,memory_remaining,ready_count,result_elapsed,kill_confirm_count,screen_x,screen_x_copy,raw_horizontal,normalized,soldier_state_a,soldier_state_b,soldier_pointer_hex,arm_ready,raw_detected,normalized_detected,auto_aim_detected,pointer_dead,state_a_dead,state_b_dead,strong_kill,medium_kill,kill_candidate
45160,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45162,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45164,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45166,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45168,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45170,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45172,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45174,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45176,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45178,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45180,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45182,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45184,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45186,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45188,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45190,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45192,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45194,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
45196,SAMPLE,IDLE,false,0,0,0,0,0,160.0,160.0,0.0,0.0,0,0,0x801FABDC,true,false,false,false,false,false,false,false,false,false
