GoldenEyeDiagnostic 0.0.5.8.6
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 197
Candidates exported: 197
CSV: .\output\shot-outcome-candidates-20260729-194219.csv

Snapshots:
BEFORE_SHOT | frame=2990
HIT | frame=4043
VISUAL_DEATH | frame=4478
MISS | frame=3335

Regions:
STATE_30A | 0x00030800-0x00030CFF
STATE_3CB | 0x0003C900-0x0003CDFF
OBJECT_1E | 0x001DF000-0x001E1FFF
POINTER_1F | 0x001F3000-0x001F4FFF

Top 150:
1 | region=OBJECT_1E | address=0x001E0164 | type=U32_BE | kind=DEATH_SPECIFIC | score=9468101557.4 | before=0 | hit=0 | death=3264862606 | miss=0
2 | region=OBJECT_1E | address=0x001E0120 | type=U32_BE | kind=DEATH_SPECIFIC | score=9195765324.0 | before=0 | hit=0 | death=3170953560 | miss=0
3 | region=OBJECT_1E | address=0x001E0124 | type=U32_BE | kind=DEATH_SPECIFIC | score=9186530285.6 | before=0 | hit=0 | death=3167769064 | miss=0
4 | region=OBJECT_1E | address=0x001E0134 | type=U32_BE | kind=DEATH_SPECIFIC | score=9169465960.6 | before=0 | hit=0 | death=3161884814 | miss=0
5 | region=POINTER_1F | address=0x001F421C | type=U32_BE | kind=DEATH_SPECIFIC | score=6233721854.0 | before=2149559260 | hit=2149559260 | death=0 | miss=2149559260
6 | region=OBJECT_1E | address=0x001E0174 | type=U32_BE | kind=DEATH_SPECIFIC | score=6229078803.2 | before=0 | hit=0 | death=2147958208 | miss=0
7 | region=OBJECT_1E | address=0x001E0160 | type=U32_BE | kind=DEATH_SPECIFIC | score=3433843397.0 | before=0 | hit=0 | death=1184083930 | miss=0
8 | region=OBJECT_1E | address=0x001E0168 | type=U32_BE | kind=DEATH_SPECIFIC | score=3432236077.8 | before=0 | hit=0 | death=1183529682 | miss=0
9 | region=OBJECT_1E | address=0x001E015C | type=U32_BE | kind=DEATH_SPECIFIC | score=3089524326.4 | before=0 | hit=0 | death=1065353216 | miss=0
10 | region=OBJECT_1E | address=0x001E0144 | type=U32_BE | kind=DEATH_SPECIFIC | score=3005074589.3 | before=0 | hit=0 | death=1036232617 | miss=0
11 | region=OBJECT_1E | address=0x001E0130 | type=U32_BE | kind=DEATH_SPECIFIC | score=3004746871.9 | before=0 | hit=0 | death=1036119611 | miss=0
12 | region=OBJECT_1E | address=0x001E0128 | type=U32_BE | kind=DEATH_SPECIFIC | score=3003484011.8 | before=0 | hit=0 | death=1035684142 | miss=0
13 | region=OBJECT_1E | address=0x001E0148 | type=U32_BE | kind=DEATH_SPECIFIC | score=2964099703.4 | before=0 | hit=0 | death=1022103346 | miss=0
14 | region=OBJECT_1E | address=0x001E0138 | type=U32_BE | kind=DEATH_SPECIFIC | score=2963459972.1 | before=0 | hit=0 | death=1021882749 | miss=0
15 | region=OBJECT_1E | address=0x001E0140 | type=U32_BE | kind=DEATH_SPECIFIC | score=2911293197.4 | before=0 | hit=0 | death=1003894206 | miss=0
16 | region=OBJECT_1E | address=0x001E0132 | type=U16_BE | kind=DEATH_SPECIFIC | score=176862.3 | before=0 | hit=0 | death=60987 | miss=0
17 | region=OBJECT_1E | address=0x001E0122 | type=U16_BE | kind=DEATH_SPECIFIC | score=173234.4 | before=0 | hit=0 | death=59736 | miss=0
18 | region=OBJECT_1E | address=0x001E0166 | type=U16_BE | kind=DEATH_SPECIFIC | score=161512.6 | before=0 | hit=0 | death=55694 | miss=0
19 | region=POINTER_1F | address=0x001F454C | type=U32_BE | kind=HIT_PERSISTENT | score=154560.0 | before=2148555520 | hit=2148504000 | death=2148504000 | miss=2148555520
20 | region=POINTER_1F | address=0x001F472C | type=U32_BE | kind=HIT_PERSISTENT | score=154560.0 | before=2148554176 | hit=2148502656 | death=2148502656 | miss=2148554176
21 | region=POINTER_1F | address=0x001F474C | type=U32_BE | kind=HIT_PERSISTENT | score=154560.0 | before=2148554112 | hit=2148502592 | death=2148502592 | miss=2148554112
