rank,region,address_hex,data_type,kind,score,before_shot,hit,visual_death,miss,death_specific_score,hit_persistent_score,zero_on_death_score,small_state_score
1,OBJECT_1E,0x001E0164,U32_BE,DEATH_SPECIFIC,9468101557.4,0,0,3264862606,0,9468101557.4,-1632431303.0,0,0
2,OBJECT_1E,0x001E0120,U32_BE,DEATH_SPECIFIC,9195765324.0,0,0,3170953560,0,9195765324.0,-1585476780.0,0,0
3,OBJECT_1E,0x001E0124,U32_BE,DEATH_SPECIFIC,9186530285.6,0,0,3167769064,0,9186530285.6,-1583884532.0,0,0
4,OBJECT_1E,0x001E0134,U32_BE,DEATH_SPECIFIC,9169465960.6,0,0,3161884814,0,9169465960.6,-1580942407.0,0,0
5,POINTER_1F,0x001F421C,U32_BE,DEATH_SPECIFIC,6233721854.0,2149559260,2149559260,0,2149559260,6233721854.0,-1074779630.0,2149560260,0
6,OBJECT_1E,0x001E0174,U32_BE,DEATH_SPECIFIC,6229078803.2,0,0,2147958208,0,6229078803.2,-1073979104.0,0,0
7,OBJECT_1E,0x001E0160,U32_BE,DEATH_SPECIFIC,3433843397.0,0,0,1184083930,0,3433843397.0,-592041965.0,0,0
8,OBJECT_1E,0x001E0168,U32_BE,DEATH_SPECIFIC,3432236077.8,0,0,1183529682,0,3432236077.8,-591764841.0,0,0
9,OBJECT_1E,0x001E015C,U32_BE,DEATH_SPECIFIC,3089524326.4,0,0,1065353216,0,3089524326.4,-532676608.0,0,0
10,OBJECT_1E,0x001E0144,U32_BE,DEATH_SPECIFIC,3005074589.3,0,0,1036232617,0,3005074589.3,-518116308.5,0,0
11,OBJECT_1E,0x001E0130,U32_BE,DEATH_SPECIFIC,3004746871.9,0,0,1036119611,0,3004746871.9,-518059805.5,0,0
12,OBJECT_1E,0x001E0128,U32_BE,DEATH_SPECIFIC,3003484011.8,0,0,1035684142,0,3003484011.8,-517842071.0,0,0
13,OBJECT_1E,0x001E0148,U32_BE,DEATH_SPECIFIC,2964099703.4,0,0,1022103346,0,2964099703.4,-511051673.0,0,0
14,OBJECT_1E,0x001E0138,U32_BE,DEATH_SPECIFIC,2963459972.1,0,0,1021882749,0,2963459972.1,-510941374.5,0,0
15,OBJECT_1E,0x001E0140,U32_BE,DEATH_SPECIFIC,2911293197.4,0,0,1003894206,0,2911293197.4,-501947103.0,0,0
16,OBJECT_1E,0x001E0132,U16_BE,DEATH_SPECIFIC,176862.3,0,0,60987,0,176862.3,-30493.5,0,0
17,OBJECT_1E,0x001E0122,U16_BE,DEATH_SPECIFIC,173234.4,0,0,59736,0,173234.4,-29868.0,0,0
18,OBJECT_1E,0x001E0166,U16_BE,DEATH_SPECIFIC,161512.6,0,0,55694,0,161512.6,-27847.0,0,0
19,POINTER_1F,0x001F454C,U32_BE,HIT_PERSISTENT,154560.0,2148555520,2148504000,2148504000,2148555520,128800.0,154560.0,0,0
20,POINTER_1F,0x001F472C,U32_BE,HIT_PERSISTENT,154560.0,2148554176,2148502656,2148502656,2148554176,128800.0,154560.0,0,0
21,POINTER_1F,0x001F474C,U32_BE,HIT_PERSISTENT,154560.0,2148554112,2148502592,2148502592,2148554112,128800.0,154560.0,0,0
22,POINTER_1F,0x001F476C,U32_BE,HIT_PERSISTENT,154560.0,2148554048,2148502528,2148502528,2148554048,128800.0,154560.0,0,0
23,POINTER_1F,0x001F478C,U32_BE,HIT_PERSISTENT,154560.0,2148553984,2148502464,2148502464,2148553984,128800.0,154560.0,0,0
24,POINTER_1F,0x001F47AC,U32_BE,HIT_PERSISTENT,154560.0,2148553920,2148502400,2148502400,2148553920,128800.0,154560.0,0,0
25,OBJECT_1E,0x001E0164,U16_BE,DEATH_SPECIFIC,144469.3,0,0,49817,0,144469.3,-24908.5,0,0
26,OBJECT_1E,0x001E0120,U16_BE,DEATH_SPECIFIC,140313.6,0,0,48384,0,140313.6,-24192.0,0,0
27,OBJECT_1E,0x001E0124,U16_BE,DEATH_SPECIFIC,140174.4,0,0,48336,0,140174.4,-24168.0,0,0
28,OBJECT_1E,0x001E0134,U16_BE,DEATH_SPECIFIC,139913.4,0,0,48246,0,139913.4,-24123.0,0,0
29,OBJECT_1E,0x001E013A,U16_BE,DEATH_SPECIFIC,131767.3,0,0,45437,0,131767.3,-22718.5,0,0
30,OBJECT_1E,0x001E0162,U16_BE,DEATH_SPECIFIC,130552.2,0,0,45018,0,130552.2,-22509.0,0,0
31,POINTER_1F,0x001F421E,U16_BE,DEATH_SPECIFIC,127588.4,43996,43996,0,43996,127588.4,-21998.0,44996,0
32,OBJECT_1E,0x001E0146,U16_BE,DEATH_SPECIFIC,124470.9,0,0,42921,0,124470.9,-21460.5,0,0
33,OBJECT_1E,0x001E0136,U16_BE,DEATH_SPECIFIC,101378.2,0,0,34958,0,101378.2,-17479.0,0,0
34,POINTER_1F,0x001F421C,U16_BE,DEATH_SPECIFIC,95117.1,32799,32799,0,32799,95117.1,-16399.5,33799,0
35,OBJECT_1E,0x001E0174,U16_BE,DEATH_SPECIFIC,95047.5,0,0,32775,0,95047.5,-16387.5,0,0
36,OBJECT_1E,0x001E0126,U16_BE,DEATH_SPECIFIC,60807.2,0,0,20968,0,60807.2,-10484.0,0,0
37,OBJECT_1E,0x001E0160,F32_BE,DEATH_SPECIFIC,54821.384765625,0,0,18903.92578125,0,54821.384765625,-9451.962890625,0,0
38,OBJECT_1E,0x001E012A,U16_BE,DEATH_SPECIFIC,54328.6,0,0,18734,0,54328.6,-9367.0,0,0
39,OBJECT_1E,0x001E0160,U16_BE,DEATH_SPECIFIC,52394.3,0,0,18067,0,52394.3,-9033.5,0,0
40,OBJECT_1E,0x001E0168,U16_BE,DEATH_SPECIFIC,52371.1,0,0,18059,0,52371.1,-9029.5,0,0
41,OBJECT_1E,0x001E0168,F32_BE,DEATH_SPECIFIC,51682.089453125,0,0,17821.41015625,0,51682.089453125,-8910.705078125,0,0
42,OBJECT_1E,0x001E015C,U16_BE,DEATH_SPECIFIC,47142.4,0,0,16256,0,47142.4,-8128.0,0,0
43,OBJECT_1E,0x001E0144,U16_BE,DEATH_SPECIFIC,45851.9,0,0,15811,0,45851.9,-7905.5,0,0
44,OBJECT_1E,0x001E0130,U16_BE,DEATH_SPECIFIC,45846.1,0,0,15809,0,45846.1,-7904.5,0,0
45,OBJECT_1E,0x001E0176,U16_BE,DEATH_SPECIFIC,45843.2,0,0,15808,0,45843.2,-7904.0,0,0
46,OBJECT_1E,0x001E0128,U16_BE,DEATH_SPECIFIC,45828.7,0,0,15803,0,45828.7,-7901.5,0,0
47,OBJECT_1E,0x001E0148,U16_BE,DEATH_SPECIFIC,45228.4,0,0,15596,0,45228.4,-7798.0,0,0
48,OBJECT_1E,0x001E0138,U16_BE,DEATH_SPECIFIC,45216.8,0,0,15592,0,45216.8,-7796.0,0,0
49,OBJECT_1E,0x001E0140,U16_BE,DEATH_SPECIFIC,44422.2,0,0,15318,0,44422.2,-7659.0,0,0
50,OBJECT_1E,0x001E016A,U16_BE,DEATH_SPECIFIC,43668.2,0,0,15058,0,43668.2,-7529.0,0,0
51,POINTER_1F,0x001F454E,U16_BE,HIT_PERSISTENT,42048.0,23296,37312,37312,23296,35040.0,42048.0,0,0
52,POINTER_1F,0x001F472E,U16_BE,HIT_PERSISTENT,42048.0,21952,35968,35968,21952,35040.0,42048.0,0,0
53,POINTER_1F,0x001F474E,U16_BE,HIT_PERSISTENT,42048.0,21888,35904,35904,21888,35040.0,42048.0,0,0
54,POINTER_1F,0x001F476E,U16_BE,HIT_PERSISTENT,42048.0,21824,35840,35840,21824,35040.0,42048.0,0,0
55,POINTER_1F,0x001F478E,U16_BE,HIT_PERSISTENT,42048.0,21760,35776,35776,21760,35040.0,42048.0,0,0
56,POINTER_1F,0x001F47AE,U16_BE,HIT_PERSISTENT,42048.0,21696,35712,35712,21696,35040.0,42048.0,0,0
57,OBJECT_1E,0x001E0142,U16_BE,DEATH_SPECIFIC,39898.2,0,0,13758,0,39898.2,-6879.0,0,0
58,POINTER_1F,0x001F420C,U32_BE,HIT_PERSISTENT,27232.0,2148558208,2148505344,2148557888,2148558208,-30726.4,27232.0,0,0
59,POINTER_1F,0x001F422C,U32_BE,HIT_PERSISTENT,27232.0,2148556864,2148504000,2148556544,2148556864,-30726.4,27232.0,0,0
60,OBJECT_1E,0x001E014A,U16_BE,DEATH_SPECIFIC,11281.0,0,0,3890,0,11281.0,-1945.0,0,0
61,POINTER_1F,0x001F420E,U16_BE,HIT_PERSISTENT,6176.0,25984,38656,25664,25984,-6675.2,6176.0,0,0
62,POINTER_1F,0x001F422E,U16_BE,HIT_PERSISTENT,6176.0,24640,37312,24320,24640,-6675.2,6176.0,0,0
63,POINTER_1F,0x001F421F,U8,ZERO_ON_DEATH,1220,220,220,0,220,638.0,-110.0,1220,500
64,POINTER_1F,0x001F421E,U8,ZERO_ON_DEATH,1171,171,171,0,171,495.9,-85.5,1171,500
65,POINTER_1F,0x001F421C,U8,ZERO_ON_DEATH,1128,128,128,0,128,371.2,-64.0,1128,500
66,POINTER_1F,0x001F422F,U8,ZERO_ON_DEATH,1064,64,192,0,64,108.8,32.0,1064,500
67,POINTER_1F,0x001F476F,U8,ZERO_ON_DEATH,1064,64,0,0,64,160.0,192.0,1064,500
68,POINTER_1F,0x001F421D,U8,ZERO_ON_DEATH,1031,31,31,0,31,89.9,-15.5,1031,500
69,POINTER_1F,0x001F421C,F32_BE,ZERO_ON_DEATH,1000.0,-2.9085519081342e-39,-2.9085519081342e-39,0,-2.9085519081342e-39,8.4348005335891e-39,-1.4542759540671e-39,1000.0,0
70,OBJECT_1E,0x001E0108,U32_BE,DEATH_SPECIFIC,742.4,16777224,16777224,16777480,16777224,742.4,-128.0,0,0
71,OBJECT_1E,0x001E010A,U16_BE,DEATH_SPECIFIC,742.4,8,8,264,8,742.4,-128.0,0,0
72,OBJECT_1E,0x001E0132,U8,DEATH_SPECIFIC,690.2,0,0,238,0,690.2,-119.0,0,500
73,OBJECT_1E,0x001E0149,U8,DEATH_SPECIFIC,684.4,0,0,236,0,684.4,-118.0,0,500
74,OBJECT_1E,0x001E0122,U8,DEATH_SPECIFIC,675.7,0,0,233,0,675.7,-116.5,0,500
75,OBJECT_1E,0x001E0127,U8,DEATH_SPECIFIC,672.8,0,0,232,0,672.8,-116.0,0,500
76,OBJECT_1E,0x001E0139,U8,DEATH_SPECIFIC,672.8,0,0,232,0,672.8,-116.0,0,500
77,OBJECT_1E,0x001E0163,U8,DEATH_SPECIFIC,632.2,0,0,218,0,632.2,-109.0,0,500
78,OBJECT_1E,0x001E0166,U8,DEATH_SPECIFIC,629.3,0,0,217,0,629.3,-108.5,0,500
79,OBJECT_1E,0x001E0141,U8,DEATH_SPECIFIC,620.6,0,0,214,0,620.6,-107.0,0,500
80,OBJECT_1E,0x001E016B,U8,DEATH_SPECIFIC,609.0,0,0,210,0,609.0,-105.0,0,500
