frame,event,state,gate_enabled,attempt,memory_remaining,ready_count,result_elapsed,kill_confirm_count,retry_delay_remaining,screen_x,screen_x_copy,raw_horizontal,normalized,baseline_pointer_hex,shot_pointer_hex,current_pointer_hex,last_pointer_hex,arm_ready,raw_detected,normalized_detected,auto_aim_detected,pointer_was_live,pointer_zero_now,pointer_transitioned_to_zero,changed_from_shot
2716,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2718,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2720,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2722,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2724,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2726,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2728,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2730,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2732,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2734,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2736,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2738,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2740,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2742,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2744,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2746,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2748,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2750,SAMPLE,IDLE,false,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2752,SAMPLE,IDLE,true,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2754,SAMPLE,IDLE,true,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2756,SAMPLE,IDLE,true,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2758,SAMPLE,IDLE,true,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2760,SAMPLE,IDLE,true,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2762,SAMPLE,IDLE,true,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2764,SAMPLE,IDLE,true,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2766,SAMPLE,IDLE,true,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2768,SAMPLE,IDLE,true,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2770,SAMPLE,IDLE,true,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
2772,SAMPLE,IDLE,true,0,0,0,0,0,0,160.0,160.0,0.0,0.0,nil,nil,0x801FABDC,0x801FABDC,true,false,false,false,false,false,false,false
