GoldenEyeDiagnostic 0.0.5.8.8.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 8400
Candidates exported: 8400
CSV: .\output\first-soldier-vertical-candidates-20260729-201716.csv

Snapshots:
CENTER | frame=5399
AUTO_AIM_DOWN | frame=6725
TARGET_HEAD | frame=8534
TARGET_UPPER_BODY | frame=4213
TARGET_LOWER_BODY | frame=5825
TARGET_LOST | frame=4693

Regions:
ARM_CORE | 0x000D3600-0x000D61FF
ARM_NEAR_X | 0x000D3C00-0x000D40FF
CAMERA_NEAR | 0x00079600-0x00079CFF

Top 200:
1 | region=ARM_CORE | address=0x000D5EE0 | type=U32_BE | kind=BODY_PROGRESSION | score=79504080974.0 | center=3103785757 | down=3875536896 | head=4229273604 | upper=3154120710 | lower=100663296 | lost=3154120710 | monotonic=true
2 | region=ARM_CORE | address=0x000D5CAC | type=U32_BE | kind=BODY_PROGRESSION | score=79243160956.0 | center=4284481536 | down=4284350464 | head=4285399040 | upper=4284743680 | lower=2077120 | lost=4284612608 | monotonic=true
3 | region=ARM_CORE | address=0x000D5ED4 | type=U32_BE | kind=BODY_PROGRESSION | score=65485388775.5 | center=1509949695 | down=1021760 | head=7 | upper=1610537976 | lower=3289456760 | lost=1610537976 | monotonic=true
4 | region=ARM_CORE | address=0x000D5B94 | type=U32_BE | kind=BODY_PROGRESSION | score=63921203310.5 | center=3464495537 | down=3456106924 | head=3456106969 | upper=3456106939 | lower=0 | lost=3456106934 | monotonic=true
5 | region=ARM_CORE | address=0x000D5EEC | type=U32_BE | kind=BODY_PROGRESSION | score=60921139456.0 | center=2081456 | down=1048576 | head=3289456760 | upper=83913912 | lower=1018816 | lost=83906104 | monotonic=true
6 | region=ARM_CORE | address=0x000D5C54 | type=U32_BE | kind=BODY_PROGRESSION | score=60291208777.5 | center=33491818 | down=20775950 | head=27723719 | upper=27985606 | lower=3289456760 | lost=59311639 | monotonic=true
7 | region=ARM_CORE | address=0x000D616C | type=U32_BE | kind=BODY_PROGRESSION | score=59138979036.0 | center=83915200 | down=7 | head=83909608 | upper=83913264 | lower=3289456760 | lost=2087328 | monotonic=true
8 | region=ARM_CORE | address=0x000D5F98 | type=U32_BE | kind=BODY_PROGRESSION | score=56589641815.0 | center=3154119686 | down=4229273604 | head=100663296 | upper=3120567298 | lower=3154121734 | lost=3154121734 | monotonic=true
9 | region=ARM_CORE | address=0x000D6080 | type=U32_BE | kind=BODY_PROGRESSION | score=56488986699.0 | center=3154120710 | down=4211081216 | head=100663296 | upper=3154119686 | lower=3154121734 | lost=3154119686 | monotonic=true
10 | region=ARM_CORE | address=0x000D5C74 | type=U32_BE | kind=BODY_PROGRESSION | score=54218726176.0 | center=167426736 | down=507278576 | head=3022787608 | upper=1349797032 | lower=2074432 | lost=3021245176 | monotonic=true
11 | region=ARM_CORE | address=0x000D5C84 | type=U32_BE | kind=BODY_PROGRESSION | score=53637252113.5 | center=4063711488 | down=3528769090 | head=2884056931 | upper=1051904988 | lower=1048576 | lost=2638224893 | monotonic=true
12 | region=ARM_CORE | address=0x000D5C94 | type=U32_BE | kind=BODY_PROGRESSION | score=51513324039.0 | center=4294377447 | down=4294377460 | head=4294442989 | upper=4294377453 | lower=1509949695 | lost=4294377451 | monotonic=true
13 | region=ARM_CORE | address=0x000D5C9C | type=U32_BE | kind=BODY_PROGRESSION | score=49486635120.0 | center=4284481536 | down=4284350464 | head=4285399040 | upper=4284743680 | lower=1610537976 | lost=4284612608 | monotonic=true
14 | region=ARM_CORE | address=0x000D3CF8 | type=U32_BE | kind=BODY_PROGRESSION | score=40143599764.5 | center=1008753472 | down=1023730015 | head=3175056731 | upper=3149983770 | lower=1007097920 | lost=1028182783 | monotonic=true
15 | region=ARM_NEAR_X | address=0x000D3CF8 | type=U32_BE | kind=BODY_PROGRESSION | score=40143599764.5 | center=1008753472 | down=1023730015 | head=3175056731 | upper=3149983770 | lower=1007097920 | lost=1028182783 | monotonic=true
16 | region=CAMERA_NEAR | address=0x00079970 | type=U32_BE | kind=BODY_PROGRESSION | score=40139628873.5 | center=1059404710 | down=1046179442 | head=1031859136 | upper=1052016052 | lower=3198916407 | lost=1065106154 | monotonic=true
17 | region=ARM_CORE | address=0x000D38EC | type=U32_BE | kind=BODY_PROGRESSION | score=39766071357.5 | center=1066566152 | down=3213729598 | head=1059731752 | upper=3206880439 | lower=3212765023 | lost=1025216448 | monotonic=true
