GoldenEyeDiagnostic 0.0.5.8.8.1
ROM: 007 - GoldenEye (USA)
Hash: ABE01E4AEB033B6C0836819F549C791B26CFDE83
Candidates found: 7668
Candidates exported: 7668
CSV: .\output\first-soldier-vertical-candidates-20260729-202202.csv

Snapshots:
CENTER | frame=5043
AUTO_AIM_DOWN | frame=5784
TARGET_HEAD | frame=3909
TARGET_UPPER_BODY | frame=6459
TARGET_LOWER_BODY | frame=6801
TARGET_LOST | frame=7290

Regions:
ARM_CORE | 0x000D3600-0x000D61FF
ARM_NEAR_X | 0x000D3C00-0x000D40FF
CAMERA_NEAR | 0x00079600-0x00079CFF

Top 200:
1 | region=ARM_CORE | address=0x000D5ED0 | type=U32_BE | kind=BODY_PROGRESSION | score=79504084512.0 | center=4211081216 | down=3120567298 | head=4229273604 | upper=3154121734 | lower=100663296 | lost=4160749568 | monotonic=true
2 | region=ARM_CORE | address=0x000D60B0 | type=U32_BE | kind=BODY_PROGRESSION | score=79504084512.0 | center=4211081216 | down=3154121734 | head=4229273604 | upper=3154121734 | lower=100663296 | lost=4160749568 | monotonic=true
3 | region=ARM_CORE | address=0x000D5C6C | type=U32_BE | kind=BODY_PROGRESSION | score=79455880665.0 | center=4294901760 | down=4294836224 | head=0 | upper=65535 | lower=4294901760 | lost=4294901760 | monotonic=true
4 | region=ARM_CORE | address=0x000D5FC0 | type=U32_BE | kind=BODY_PROGRESSION | score=79213617610.0 | center=4160749568 | down=3154121734 | head=4211081216 | upper=3154119686 | lower=100663296 | lost=4160749568 | monotonic=true
5 | region=ARM_CORE | address=0x000D60F8 | type=U32_BE | kind=BODY_PROGRESSION | score=79213617610.0 | center=4160749568 | down=3154119686 | head=4211081216 | upper=3154119686 | lower=100663296 | lost=4160749568 | monotonic=true
6 | region=ARM_CORE | address=0x000D5F20 | type=U32_BE | kind=BODY_PROGRESSION | score=79112954314.0 | center=4211081216 | down=3120567298 | head=4211081216 | upper=3154119686 | lower=100663296 | lost=4160749568 | monotonic=true
7 | region=ARM_CORE | address=0x000D5F70 | type=U32_BE | kind=BODY_PROGRESSION | score=79112954314.0 | center=4211081216 | down=3875536896 | head=4211081216 | upper=3154119686 | lower=100663296 | lost=4160749568 | monotonic=true
8 | region=ARM_CORE | address=0x000D5C0C | type=U32_BE | kind=BODY_PROGRESSION | score=78929987036.0 | center=4279369728 | down=4255383552 | head=12451840 | upper=13893632 | lower=4278845440 | lost=4280680448 | monotonic=true
9 | region=ARM_CORE | address=0x000D5C04 | type=U32_BE | kind=BODY_PROGRESSION | score=78664097010.0 | center=4271636172 | down=4235132139 | head=18809080 | upper=20971796 | lower=4270784192 | lost=4273602277 | monotonic=true
10 | region=ARM_CORE | address=0x000D6010 | type=U32_BE | kind=BODY_PROGRESSION | score=77524389412.0 | center=3120567298 | down=3154121734 | head=4229273604 | upper=3154119686 | lower=100663296 | lost=4160749568 | monotonic=true
11 | region=ARM_CORE | address=0x000D5EC4 | type=U32_BE | kind=BODY_PROGRESSION | score=61104599024.0 | center=1048576 | down=2112544 | head=0 | upper=83914872 | lower=3289456760 | lost=0 | monotonic=true
12 | region=ARM_CORE | address=0x000D5F14 | type=U32_BE | kind=BODY_PROGRESSION | score=61082028336.0 | center=1048576 | down=2074432 | head=1048576 | upper=83906104 | lower=3289456760 | lost=0 | monotonic=true
13 | region=ARM_CORE | address=0x000D60A4 | type=U32_BE | kind=BODY_PROGRESSION | score=60859192736.0 | center=1048576 | down=83910816 | head=0 | upper=2112776 | lower=3289456760 | lost=0 | monotonic=true
14 | region=ARM_CORE | address=0x000D6004 | type=U32_BE | kind=BODY_PROGRESSION | score=60857073560.0 | center=2074432 | down=83905872 | head=0 | upper=2090288 | lower=3289456760 | lost=0 | monotonic=true
15 | region=ARM_CORE | address=0x000D60EC | type=U32_BE | kind=BODY_PROGRESSION | score=60838749680.0 | center=0 | down=2088936 | head=1048576 | upper=2114168 | lower=3289456760 | lost=0 | monotonic=true
16 | region=ARM_CORE | address=0x000D5FB4 | type=U32_BE | kind=BODY_PROGRESSION | score=60838642496.0 | center=0 | down=1021760 | head=1048576 | upper=2078440 | lower=3289456760 | lost=0 | monotonic=true
17 | region=ARM_CORE | address=0x000D5F64 | type=U32_BE | kind=BODY_PROGRESSION | score=60836555880.0 | center=1048576 | down=1021760 | head=1048576 | upper=2081952 | lower=3289456760 | lost=0 | monotonic=true
18 | region=ARM_NEAR_X | address=0x000D3FD8 | type=U32_BE | kind=BODY_PROGRESSION | score=42949672950.0 | center=0 | down=4294967295 | head=0 | upper=4294967295 | lower=0 | lost=0 | monotonic=false
19 | region=ARM_CORE | address=0x000D3FD8 | type=U32_BE | kind=BODY_PROGRESSION | score=42949672950.0 | center=0 | down=4294967295 | head=0 | upper=4294967295 | lower=0 | lost=0 | monotonic=false
20 | region=ARM_CORE | address=0x000D3A5C | type=U32_BE | kind=BODY_PROGRESSION | score=40764235668.5 | center=3182159223 | down=3191116544 | head=977758080 | upper=3179746859 | lower=3181614213 | lost=3188512400 | monotonic=true
21 | region=ARM_CORE | address=0x000D3A9C | type=U32_BE | kind=BODY_PROGRESSION | score=40639938976.0 | center=3182133678 | down=3191149154 | head=984462568 | upper=3179757125 | lower=3181605638 | lost=3188511107 | monotonic=true
22 | region=ARM_CORE | address=0x000D3DF0 | type=U32_BE | kind=BODY_PROGRESSION | score=40207473862.5 | center=3178622173 | down=3190948661 | head=1006720958 | upper=3175834324 | lower=3179747525 | lost=3181251538 | monotonic=true
23 | region=ARM_NEAR_X | address=0x000D3DF0 | type=U32_BE | kind=BODY_PROGRESSION | score=40207199232.5 | center=3178817895 | down=3190948661 | head=1006756962 | upper=3175834324 | lower=3179747525 | lost=3181251538 | monotonic=true
24 | region=ARM_CORE | address=0x000D3E30 | type=U32_BE | kind=BODY_PROGRESSION | score=40204434525.5 | center=3178488002 | down=3190963925 | head=1006688427 | upper=3175873206 | lower=3179595782 | lost=3181248387 | monotonic=true
25 | region=ARM_NEAR_X | address=0x000D3E30 | type=U32_BE | kind=BODY_PROGRESSION | score=40204101044.0 | center=3178622173 | down=3190963925 | head=1006720958 | upper=3175873206 | lower=3179595782 | lost=3181248387 | monotonic=true
26 | region=ARM_NEAR_X | address=0x000D3CE0 | type=U32_BE | kind=BODY_PROGRESSION | score=40088188562.5 | center=3167922752 | down=1025379058 | head=3162532037 | upper=1016338919 | lower=995704218 | lost=3137906906 | monotonic=true
27 | region=ARM_CORE | address=0x000D3CE0 | type=U32_BE | kind=BODY_PROGRESSION | score=40088188562.5 | center=3167922752 | down=1025379058 | head=3162532037 | upper=1016338919 | lower=995704218 | lost=3137906906 | monotonic=true
28 | region=ARM_CORE | address=0x000D3E44 | type=U32_BE | kind=BODY_PROGRESSION | score=40087820642.0 | center=3178418938 | down=3196568541 | head=1017334165 | upper=3183358474 | lower=3185053123 | lost=3188451702 | monotonic=true
29 | region=ARM_CORE | address=0x000D3E04 | type=U32_BE | kind=BODY_PROGRESSION | score=40086122887.0 | center=3178554041 | down=3196547396 | head=1017540760 | upper=3183322080 | lower=3185131134 | lost=3188417888 | monotonic=true
30 | region=ARM_NEAR_X | address=0x000D3E44 | type=U32_BE | kind=BODY_PROGRESSION | score=40084268840.5 | center=3178554041 | down=3196568541 | head=1017540760 | upper=3183358474 | lower=3185053123 | lost=3188451702 | monotonic=true
31 | region=ARM_NEAR_X | address=0x000D3E04 | type=U32_BE | kind=BODY_PROGRESSION | score=40082748010.0 | center=3178751142 | down=3196547396 | head=1017744494 | upper=3183322080 | lower=3185131134 | lost=3188417888 | monotonic=true
32 | region=ARM_CORE | address=0x000D38B8 | type=U32_BE | kind=BODY_PROGRESSION | score=40052055479.0 | center=3224722622 | down=3229634603 | head=1067491653 | upper=1067570871 | lower=3232534015 | lost=3223988936 | monotonic=true
33 | region=ARM_CORE | address=0x000D3894 | type=U32_BE | kind=BODY_PROGRESSION | score=40049409889.5 | center=3188791041 | down=3192737045 | head=1031831814 | upper=1031895188 | lower=3196717877 | lost=3188204092 | monotonic=true
34 | region=ARM_CORE | address=0x000D3A48 | type=U32_BE | kind=BODY_PROGRESSION | score=40049096824.0 | center=3182070856 | down=3185149006 | head=1016124400 | upper=3158611775 | lower=3178361166 | lost=3176304346 | monotonic=true
35 | region=ARM_CORE | address=0x000D3A88 | type=U32_BE | kind=BODY_PROGRESSION | score=40043735214.5 | center=3182045804 | down=3185184592 | head=1016313047 | upper=3158705550 | lower=3178278008 | lost=3176378085 | monotonic=true
36 | region=ARM_CORE | address=0x000D38C4 | type=U32_BE | kind=BODY_PROGRESSION | score=40028229183.0 | center=1060588788 | down=3207492269 | head=1044185584 | upper=1057102412 | lower=3206005998 | lost=1058488558 | monotonic=true
37 | region=ARM_CORE | address=0x000D38A0 | type=U32_BE | kind=BODY_PROGRESSION | score=40026812389.0 | center=1024631801 | down=3171651315 | head=1008153794 | upper=1020275222 | lower=3170030772 | lost=1022493057 | monotonic=true
38 | region=ARM_CORE | address=0x000D3D00 | type=U32_BE | kind=BODY_PROGRESSION | score=39956201457.0 | center=3171668988 | down=3173390700 | head=1008752960 | upper=1021277882 | lower=3166535122 | lost=3171496585 | monotonic=true
39 | region=ARM_NEAR_X | address=0x000D3D00 | type=U32_BE | kind=BODY_PROGRESSION | score=39956201457.0 | center=3171668988 | down=3173390700 | head=1008752960 | upper=1021277882 | lower=3166535122 | lost=3171496585 | monotonic=true
