rank,region,address_hex,data_type,kind,score,center,auto_aim_down,target_head,target_upper_body,target_lower_body,target_lost,head_upper_delta,upper_lower_delta,head_lower_delta,down_delta,lost_delta,ascending,descending,monotonic,progression_score,down_extension_score,screen_like_score,normalized_score,return_to_center_score
1,ARM_CORE,0x000D5ED0,U32_BE,BODY_PROGRESSION,79504084512.0,4211081216,3120567298,4229273604,3154121734,100663296,4160749568,-1075151870,-3053458438,-4128610308,-1090513918,-50331648,false,true,true,79504084512.0,10301200380,0,0,18292815884
2,ARM_CORE,0x000D60B0,U32_BE,BODY_PROGRESSION,79504084512.0,4211081216,3154121734,4229273604,3154121734,100663296,4160749568,-1075151870,-3053458438,-4128610308,-1056959482,-50331648,false,true,true,79504084512.0,10234091508,0,0,18225707012
3,ARM_CORE,0x000D5C6C,U32_BE,BODY_PROGRESSION,79455880665.0,4294901760,4294836224,0,65535,4294901760,4294901760,65535,4294836225,4294901760,-65536,0,true,false,true,79455880665.0,393216,0,0,17179738112
4,ARM_CORE,0x000D5FC0,U32_BE,BODY_PROGRESSION,79213617610.0,4160749568,3154121734,4211081216,3154119686,100663296,4160749568,-1056961530,-3053456390,-4110417920,-1006627834,0,false,true,true,79213617610.0,10133428212,0,0,18454927348
5,ARM_CORE,0x000D60F8,U32_BE,BODY_PROGRESSION,79213617610.0,4160749568,3154119686,4211081216,3154119686,100663296,4160749568,-1056961530,-3053456390,-4110417920,-1006629882,0,false,true,true,79213617610.0,10133432308,0,0,18454931444
6,ARM_CORE,0x000D5F20,U32_BE,BODY_PROGRESSION,79112954314.0,4211081216,3120567298,4211081216,3154119686,100663296,4160749568,-1056961530,-3053456390,-4110417920,-1090513918,-50331648,false,true,true,79112954314.0,10301200380,0,0,18220046332
7,ARM_CORE,0x000D5F70,U32_BE,BODY_PROGRESSION,79112954314.0,4211081216,3875536896,4211081216,3154119686,100663296,4160749568,-1056961530,-3053456390,-4110417920,-335544320,-50331648,false,true,true,79112954314.0,8791261184,0,0,16710107136
8,ARM_CORE,0x000D5C0C,U32_BE,BODY_PROGRESSION,78929987036.0,4279369728,4255383552,12451840,13893632,4278845440,4280680448,1441792,4264951808,4266393600,-23986176,1310720,true,false,true,78929987036.0,140247040,0,0,17103060992
9,ARM_CORE,0x000D5C04,U32_BE,BODY_PROGRESSION,78664097010.0,4271636172,4235132139,18809080,20971796,4270784192,4273602277,2162716,4249812396,4251975112,-36504033,1966105,true,false,true,78664097010.0,213388028,0,0,17065179674
10,ARM_CORE,0x000D6010,U32_BE,BODY_PROGRESSION,77524389412.0,3120567298,3154121734,4229273604,3154119686,100663296,4160749568,-1075153918,-3053456390,-4128610308,33554436,1040182270,false,true,true,77524389412.0,4160770080,0,0,8260091944
